,Gene Entrez ID,Gene Symbol,Gene Name,Gene Description,PICR Ensembl ID,CHOK1GS Ensembl ID,Transcript ID,Protein ID,GO Terms,Uniprot ID,Human Entrez ID,Human Gene Name
769,100762211,Trhde,thyrotropin releasing hormone degrading enzyme,"This gene encodes a member of the peptidase M1 family. The encoded protein is an extracellular peptidase that specifically cleaves and inactivates the neuropeptide thyrotropin-releasing hormone.[provided by RefSeq, Dec 2008]",,ENSCGRG00001020946,XM_035452078,XP_035307969,"['GO:0004177', 'GO:0006508', 'GO:0008237', 'GO:0008270', 'GO:0016020']", ,29953,TRHDE
770,100766212,Slc25a13,solute carrier family 25 member 13,"This gene is a member of the mitochondrial carrier family. The encoded protein contains four EF-hand Ca(2+) binding motifs in the N-terminal domain, and localizes to mitochondria. The protein catalyzes the exchange of aspartate for glutamate and a proton across the inner mitochondrial membrane, and is stimulated by calcium on the external side of the inner mitochondrial membrane. Mutations in this gene result in citrullinemia, type II. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, May 2009]",ENSCGRG00015025658,ENSCGRG00001024718,XM_003501455,XP_003501503,"['GO:0005509', 'GO:0005739', 'GO:0005743', 'GO:0006754', 'GO:0003333', 'GO:0015171', 'GO:0042802', 'GO:0005743', 'GO:0045333', 'GO:0051592', 'GO:0043490', 'GO:0015810', 'GO:0015813', 'GO:0043490', 'GO:0006094', 'GO:0005313', 'GO:0015810', 'GO:0005743', 'GO:0005509', 'GO:0055085', 'GO:0000514', 'GO:0000515', 'GO:0015172', 'GO:0003333', 'GO:0015171', 'GO:0005743', 'GO:0005509', 'GO:0055085']",A0A8C2N309,10165,SLC25A13
771,100759235,Pglyrp1,peptidoglycan recognition protein 1,"Enables peptidoglycan binding activity and peptidoglycan immune receptor activity. Involved in antimicrobial humoral immune response mediated by antimicrobial peptide; killing of cells of other organism; and response to bacterium. Located in extracellular exosome. [provided by Alliance of Genome Resources, Apr 2022]",ENSCGRG00015008395,ENSCGRG00001014568,XM_035457760,XP_035313651,"['GO:0009617', 'GO:0050830', 'GO:0061844', 'GO:0032689', 'GO:0032827', 'GO:0016019', 'GO:0042834', 'GO:0016045', 'GO:0050728', 'GO:0031640', 'GO:0042834', 'GO:0008745', 'GO:0045087', 'GO:0009253', 'GO:0008270', 'GO:0051701']", ,8993,PGLYRP1
772,100752961,Slc16a14,solute carrier family 16 member 14,"Predicted to enable monocarboxylic acid transmembrane transporter activity. Predicted to be involved in monocarboxylic acid transport. Predicted to be integral component of plasma membrane. [provided by Alliance of Genome Resources, Apr 2022]",ENSCGRG00015008987,ENSCGRG00001022560,XM_035461820,XP_035317711,"['GO:0055085', 'GO:0022857']", ,151473,SLC16A14
773,100758035,Atp6v0d2,ATPase H+ transporting V0 subunit d2,"Predicted to enable proton transmembrane transporter activity. Predicted to be involved in vacuolar acidification and vacuolar transport. Located in apical plasma membrane. Part of vacuolar proton-transporting V-type ATPase complex. [provided by Alliance of Genome Resources, Apr 2022]",ENSCGRG00015013079,ENSCGRG00001012671,XM_027384618,XP_027240419,"['GO:0016020', 'GO:0016324', 'GO:0005769', 'GO:0016471', 'GO:0033179', 'GO:1902600', 'GO:0046961']", ,245972,ATP6V0D2
774,100752143,Fabp7,fatty acid binding protein 7,"The gene encodes a small, highly conserved cytoplasmic protein that bind long-chain fatty acids and other hydrophobic ligands. The encoded protein is important in the establishment of the radial glial fiber in the developing brain. Alternative splicing and promoter usage results in multiple transcript variants encoding different isoforms. Pseudogenes of this gene are found on multiple chromosomes. [provided by RefSeq, Jan 2016]",ENSCGRG00015011609,ENSCGRG00001007502,XM_003504212,XP_003504260,['GO:0008289'],A0A3L7I9X7,2173,FABP7
775,100770957,Plcb4,phospholipase C beta 4,"The protein encoded by this gene catalyzes the formation of inositol 1,4,5-trisphosphate and diacylglycerol from phosphatidylinositol 4,5-bisphosphate. This reaction uses calcium as a cofactor and plays an important role in the intracellular transduction of many extracellular signals in the retina. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Feb 2010]",ENSCGRG00015009726,ENSCGRG00001009524,XM_027414371,XP_027270172,"['GO:0098978', 'GO:0005634', 'GO:0014069', 'GO:0098688', 'GO:0050804', 'GO:0030425', 'GO:0098794', 'GO:0005790', 'GO:0004435', 'GO:0006629', 'GO:0008081', 'GO:0035556', 'GO:0005509', 'GO:0007165']", ,5332,PLCB4
776,100755149,Camk1,calcium/calmodulin dependent protein kinase I,"Calcium/calmodulin-dependent protein kinase I is expressed in many tissues and is a component of a calmodulin-dependent protein kinase cascade.  Calcium/calmodulin directly activates calcium/calmodulin-dependent protein kinase I by binding to the enzyme and indirectly promotes the phosphorylation and synergistic activation of the enzyme by calcium/calmodulin-dependent protein kinase I kinase. [provided by RefSeq, Jul 2008]",ENSCGRG00015020264,ENSCGRG00001015471,XM_035437749,XP_035293640,"['GO:0000166', 'GO:0005524', 'GO:0004672', 'GO:0016301', 'GO:0006468', 'GO:0016310', 'GO:0004674', 'GO:0006913', 'GO:0007165', 'GO:0010976', 'GO:0032091', 'GO:0032880', 'GO:0033138', 'GO:0043393', 'GO:0045944', 'GO:0046827', 'GO:0051147', 'GO:0051149', 'GO:0051835', 'GO:0060143', 'GO:0060999', 'GO:0071902', 'GO:1901985']",G3GX92,8536,CAMK1
777,100750797,Ndufa6,NADH:ubiquinone oxidoreductase subunit A6,"This gene encodes a member of the LYR family of proteins that contain a highly conserved tripeptide (LYR) motif near the N-terminus. The encoded protein is an accessory subunit of NADH: ubiquinone oxidorerductase (Complex I), which is the largest enzyme of the mitochondrial membrane respiratory chain. Complex I functions in electron transfer from NADH to the respiratory chain. [provided by RefSeq, Oct 2016]",ENSCGRG00015006585,ENSCGRG00001021387,XM_003508802,XP_003508850,"['GO:0016020', 'GO:0005739', 'GO:0005743', 'GO:0005747', 'GO:0070469', 'GO:0006979', 'GO:0032981', 'GO:0031966']",G3I0F4,4700,NDUFA6
778,100751897,Hsd17b2,hydroxysteroid 17-beta dehydrogenase 2,"Enables estradiol 17-beta-dehydrogenase activity and testosterone dehydrogenase (NAD+) activity. Involved in response to retinoic acid. Predicted to be located in endoplasmic reticulum membrane. [provided by Alliance of Genome Resources, Apr 2022]",ENSCGRG00015023405,ENSCGRG00001014890,XM_003495128,XP_003495176,"['GO:0016020', 'GO:0016491', 'GO:0001701', 'GO:0001890']", ,3294,HSD17B2
779,100765199,Pgd,phosphogluconate dehydrogenase,"6-phosphogluconate dehydrogenase is the second dehydrogenase in the pentose phosphate shunt. Deficiency of this enzyme is generally asymptomatic, and the inheritance of this disorder is autosomal dominant. Hemolysis results from combined deficiency of 6-phosphogluconate dehydrogenase and 6-phosphogluconolactonase suggesting a synergism of the two enzymopathies. Several transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jan 2015]",ENSCGRG00015003294,ENSCGRG00001002884,XM_003514261,XP_003514309,"['GO:0005829', 'GO:0019322', 'GO:0004616', 'GO:0009051', 'GO:0006098', 'GO:0004616', 'GO:0050661', 'GO:0016491']",G3IHY5,5226,PGD
780,100771074,Pomk,protein O-mannose kinase,"This gene encodes a protein that may be involved in the presentation of the laminin-binding O-linked carbohydrate chain of alpha-dystroglycan (a-DG), which forms transmembrane linkages between the extracellular matrix and the exoskeleton. Some pathogens use this O-linked carbohydrate unit for host entry. Loss of function compound heterozygous mutations in this gene were found in a human patient affected by the Walker-Warburg syndrome (WWS) phenotype. Mice lacking this gene contain misplaced neurons (heterotopia) in some regions of the brain, possibly from defects in neuronal migration. Alternative splicing of this gene results in multiple transcript variants. [provided by RefSeq, May 2013]",ENSCGRG00015025137,ENSCGRG00001016606,XM_027409659,XP_027265460,"['GO:0016020', 'GO:0005524', 'GO:0004672', 'GO:0006468', 'GO:0005783', 'GO:0005789', 'GO:0019200', 'GO:0006493', 'GO:0007420', 'GO:0007611', 'GO:0019233', 'GO:0050905', 'GO:0016773', 'GO:0046835']", ,84197,POMK
781,100771077,Ptpn11,protein tyrosine phosphatase non-receptor type 11,"The protein encoded by this gene is a member of the protein tyrosine phosphatase (PTP) family. PTPs are known to be signaling molecules that regulate a variety of cellular processes including cell growth, differentiation, mitotic cycle, and oncogenic transformation. This PTP contains two tandem Src homology-2 domains, which function as phospho-tyrosine binding domains and mediate the interaction of this PTP with its substrates. This PTP is widely expressed in most tissues and plays a regulatory role in various cell signaling events that are important for a diversity of cell functions, such as mitogenic activation, metabolic control, transcription regulation, and cell migration. Mutations in this gene are a cause of Noonan syndrome as well as acute myeloid leukemia. [provided by RefSeq, Aug 2016]",ENSCGRG00015026689,ENSCGRG00001017344,XM_016970672,XP_016826161,"['GO:0005634', 'GO:0004721', 'GO:0005737', 'GO:0032991', 'GO:0071364', 'GO:0009967', 'GO:0048873', 'GO:0050839', 'GO:0007229', 'GO:0030220', 'GO:0035855', 'GO:0035264', 'GO:0046825', 'GO:0030971', 'GO:0070374', 'GO:0042593', 'GO:0033277', 'GO:0001784', 'GO:0004725', 'GO:0006470', 'GO:0035335', 'GO:0035265', 'GO:0007420', 'GO:0046888', 'GO:0032331', 'GO:0048013', 'GO:0046326', 'GO:0007409', 'GO:0042445', 'GO:0006641', 'GO:0036302', 'GO:0007507', 'GO:0070374', 'GO:0006629', 'GO:0004721', 'GO:0004726', 'GO:1990782', 'GO:0045931', 'GO:0048806', 'GO:0007165', 'GO:0045778', 'GO:0019901', 'GO:0009755', 'GO:0060325', 'GO:0032528', 'GO:0007173', 'GO:0046676', 'GO:0043408', 'GO:0033628', 'GO:0048008', 'GO:0060020', 'GO:0032755', 'GO:0038127', 'GO:0005158', 'GO:0046628', 'GO:0050731', 'GO:0045296', 'GO:0000077', 'GO:0021697', 'GO:0033629', 'GO:0046887', 'GO:0048011', 'GO:0048609', 'GO:0051463', 'GO:0060125', 'GO:0061582', 'GO:0051428', 'GO:0032728', 'GO:0032760', 'GO:0043254', 'GO:0048839', 'GO:0004726', 'GO:0008543', 'GO:0006470', 'GO:0016311', 'GO:0004725', 'GO:0016791', 'GO:0030159', 'GO:0006470', 'GO:0016311', 'GO:0004725', 'GO:0016791', 'GO:0006470', 'GO:0016311', 'GO:0004725', 'GO:0016791']", ,5781,PTPN11
782,100773563,Ndufa9,NADH:ubiquinone oxidoreductase subunit A9,"The encoded protein is a subunit of the hydrophobic protein fraction of the NADH:ubiquinone oxidoreductase (complex I), the first enzyme complex in the electron transport chain located in the inner mitochondrial membrane. A pseudogene has been identified on chromosome 12. [provided by RefSeq, May 2010]",ENSCGRG00015004459,ENSCGRG00001013832,XM_003496033,XP_003496081,"['GO:0003954', 'GO:0044877', 'GO:0007623', 'GO:0032981', 'GO:0005747', 'GO:0005759', 'GO:0031966', 'GO:0005739']",G3GUK6,4704,NDUFA9
783,100762950,Prkcg,protein kinase C gamma,"Protein kinase C (PKC) is a family of serine- and threonine-specific protein kinases that can be activated by calcium and second messenger diacylglycerol. PKC family members phosphorylate a wide variety of protein targets and are known to be involved in diverse cellular signaling pathways. PKC also serve as major receptors for phorbol esters, a class of tumor promoters. Each member of the PKC family has a specific expression profile and is believed to play distinct roles in cells. The protein encoded by this gene is one of the PKC family members. This protein kinase is expressed solely in the brain and spinal cord and its localization is restricted to neurons. It has been demonstrated that several neuronal functions, including long term potentiation (LTP) and long term depression (LTD), specifically require this kinase. Knockout studies in mice also suggest that this kinase may be involved in neuropathic pain development. Defects in this protein have been associated with neurodegenerative disorder spinocerebellar ataxia-14 (SCA14). Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Oct 2015]",ENSCGRG00015010992,ENSCGRG00001014178,XM_035460603,XP_035316494,"['GO:0060384', 'GO:0042752', 'GO:0005737', 'GO:2000300', 'GO:0005886', 'GO:0005634', 'GO:0014069', 'GO:0005911', 'GO:0004712', 'GO:0030425', 'GO:0031397', 'GO:0007268', 'GO:0099523', 'GO:0044305', 'GO:0099171', 'GO:0097060', 'GO:0007635', 'GO:0050764', 'GO:0004672', 'GO:0016310', 'GO:0031397', 'GO:0032095', 'GO:0032425', 'GO:0042177', 'GO:0043278', 'GO:0048265', 'GO:1901799', 'GO:0004697', 'GO:0006468', 'GO:0004672', 'GO:0005524', 'GO:0008270']", ,5582,PRKCG
784,100765235,Gpx4,glutathione peroxidase 4,,ENSCGRG00015005530,,NM_001256831,NP_001243760,, ,2879,GPX4
785,100769484,Zc3hav1,"zinc finger CCCH-type containing, antiviral 1","This gene encodes a CCCH-type zinc finger protein. This antiviral protein inhibits viral replication by recruiting cellular RNA degradation machineries to degrade viral mRNAs. The encoded protein plays an important role in the innate immune response against multiple DNA and RNA viruses, including Ebola virus, HIV and SARS-CoV-2 (which causes COVID-19). [provided by RefSeq, Sep 2021]",ENSCGRG00015027672,ENSCGRG00001014912,XM_007643831,XP_007642021,"['GO:0046872', 'GO:0003950', 'GO:0009615', 'GO:0045071', 'GO:0061014', 'GO:0005829']",G3HH79,56829,ZC3HAV1
786,100754185,Siae,sialic acid acetylesterase,"This gene encodes an enzyme which removes 9-O-acetylation modifications from sialic acids. Mutations in this gene are associated with susceptibility to autoimmune disease 6. Multiple transcript variants encoding different isoforms, found either in the cytosol or in the lysosome, have been found for this gene.[provided by RefSeq, Feb 2011]",ENSCGRG00015009568,ENSCGRG00001017674,XM_003514367,XP_003514415,"['GO:0016787', 'GO:0001681', 'GO:0002682', 'GO:0005975', 'GO:0005764']",G3IIB1,54414,SIAE
787,100768145,Usp48,ubiquitin specific peptidase 48,"This gene encodes a protein containing domains that associate it with the peptidase family C19, also known as family 2 of ubiquitin carboxyl-terminal hydrolases. Family members function as deubiquitinating enzymes, recognizing and hydrolyzing the peptide bond at the C-terminal glycine of ubiquitin. Enzymes in peptidase family C19 are involved in the processing of poly-ubiquitin precursors as well as that of ubiquitinated proteins. Alternate transcriptional splice variants, encoding different isoforms, have been characterized. [provided by RefSeq, Jul 2008]",ENSCGRG00015022754,ENSCGRG00001020981,XM_035456656,XP_035312547,"['GO:0005654', 'GO:0005829', 'GO:0005739', 'GO:0016579', 'GO:0006511', 'GO:0004843', 'GO:0005515', 'GO:0016579', 'GO:0006511', 'GO:0004843', 'GO:0005515', 'GO:0016579', 'GO:0006511', 'GO:0004843', 'GO:0005515']", ,84196,USP48
788,100754371,Paox,polyamine oxidase,"Enables polyamine oxidase activity. Involved in polyamine metabolic process and positive regulation of spermidine biosynthetic process. Predicted to be located in cytosol and peroxisomal matrix. [provided by Alliance of Genome Resources, Apr 2022]",ENSCGRG00015027734,ENSCGRG00001017950,XM_007654983,XP_007653173,"['GO:0016491', 'GO:0009447', 'GO:0006598', 'GO:0046592', 'GO:0016491', 'GO:0009446', 'GO:0046203', 'GO:0046208', 'GO:1901307', 'GO:0016491', 'GO:0005525']", ,196743,PAOX
789,100761032,Pgap1,post-GPI attachment to proteins inositol deacylase 1,"The protein encoded by this gene functions early in the glycosylphosphatidylinositol (GPI) biosynthetic pathway, catalyzing the inositol deacylation of GPI. The encoded protein is required for the production of GPI that can attach to proteins, and this may be an important factor in the transport of GPI-anchored proteins from the endoplasmic reticulum to the Golgi. Defects in this gene are a cause an autosomal recessive form of cognitive impairment. [provided by RefSeq, Jul 2017]",ENSCGRG00015028773,ENSCGRG00001016707,XM_003513882,XP_003513930,"['GO:0009880', 'GO:0009948', 'GO:0007605', 'GO:0060322', 'GO:0021871', 'GO:0016788']", ,80055,PGAP1
790,100771034,Usp49,ubiquitin specific peptidase 49,"Enables cysteine-type endopeptidase activity; histone binding activity; and thiol-dependent deubiquitinase. Involved in histone H2B conserved C-terminal lysine deubiquitination and mRNA splicing, via spliceosome. Predicted to be located in nucleoplasm. Predicted to be active in cytoplasm. [provided by Alliance of Genome Resources, Apr 2022]",ENSCGRG00015024582,ENSCGRG00001017792,XM_027441164,XP_027296965,"['GO:0016787', 'GO:0046872', 'GO:0008270', 'GO:0008233', 'GO:0008234', 'GO:0006508', 'GO:0006511', 'GO:0016579', 'GO:0004843', 'GO:0004197', 'GO:0042393', 'GO:0000398', 'GO:0035616']", ,25862,USP49
791,100751085,Slc51b,solute carrier family 51 subunit beta,"Predicted to enable protein heterodimerization activity and transmembrane transporter activity. Involved in bile acid secretion. Located in basolateral plasma membrane. [provided by Alliance of Genome Resources, Apr 2022]",ENSCGRG00015022013,ENSCGRG00001013856,XM_035458923,XP_035314814,"['GO:0016020', 'GO:0046982', 'GO:0005886', 'GO:0022857', 'GO:0055085', 'GO:0015125', 'GO:0015721', 'GO:0031647', 'GO:0032782', 'GO:0060050', 'GO:0070863', 'GO:0071702', 'GO:0090314', 'GO:0016323', 'GO:0032991']", ,123264,SLC51B
792,100754714,Shmt2,serine hydroxymethyltransferase 2,"This gene encodes the mitochondrial form of a pyridoxal phosphate-dependent enzyme that catalyzes the reversible reaction of serine and tetrahydrofolate to glycine and 5,10-methylene tetrahydrofolate. The encoded product is primarily responsible for glycine synthesis. The activity of the encoded protein has been suggested to be the primary source of intracellular glycine. The gene which encodes the cytosolic form of this enzyme is located on chromosome 17. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Oct 2009]",ENSCGRG00015028383,ENSCGRG00001018472,XM_003507492,XP_003507540,"['GO:0016740', 'GO:0008168', 'GO:0032259', 'GO:0003824', 'GO:0006730', 'GO:0030170', 'GO:0035999', 'GO:0003682', 'GO:0004372', 'GO:0002082', 'GO:0006544', 'GO:0006563', 'GO:0019264', 'GO:0034340', 'GO:0046653', 'GO:0051262', 'GO:0051289', 'GO:0070129', 'GO:0070536', 'GO:1903715', 'GO:0005634', 'GO:0005737', 'GO:0005739', 'GO:0005743', 'GO:0005759', 'GO:0015630', 'GO:0042645', 'GO:0070552']",G3HW36,6472,SHMT2
793,100751357,Pign,phosphatidylinositol glycan anchor biosynthesis class N,"This gene encodes a protein that is involved in glycosylphosphatidylinositol (GPI)-anchor biosynthesis. The GPI-anchor is a glycolipid found on many blood cells and serves to anchor proteins to the cell surface. This protein is expressed in the endoplasmic reticulum and transfers phosphoethanolamine (EtNP) to the first mannose of the GPI anchor. Two alternatively spliced variants, which encode an identical isoform, have been reported. [provided by RefSeq, Jul 2008]",ENSCGRG00015018853,ENSCGRG00001013700,XM_007642590,XP_007640780,"['GO:0005829', 'GO:0005886', 'GO:0051377', 'GO:0005789', 'GO:0006506', 'GO:0016740', 'GO:0016021', 'GO:0051377', 'GO:0005789', 'GO:0006506', 'GO:0016740', 'GO:0016021']",A0A8C2M2G6,23556,PIGN
794,100752992,Marchf3,membrane associated ring-CH-type finger 3,"This gene encodes a member of the membrane-associated RING-CH (MARCH) family. The encoded protein is an E3 ubiquitin-protein ligase that may be involved in regulation of the endosomal transport pathway. [provided by RefSeq, Mar 2013]",ENSCGRG00015007838,ENSCGRG00001018443,XM_035445552,XP_035301443,"['GO:0005764', 'GO:0005768', 'GO:0043231', 'GO:0008270', 'GO:0008270']", ,115123,MARCH3
795,100775027,Slc30a8,solute carrier family 30 member 8,"The protein encoded by this gene is a zinc efflux transporter involved in the accumulation of zinc in intracellular vesicles. This gene is expressed at a high level only in the pancreas, particularly in islets of Langerhans. The encoded protein colocalizes with insulin in the secretory pathway granules of the insulin-secreting INS-1 cells. Allelic variants of this gene exist that confer susceptibility to diabetes mellitus, noninsulin-dependent (NIDDM). Several transcript variants encoding different isoforms have been found for this gene.[provided by RefSeq, Mar 2010]",ENSCGRG00015026432,ENSCGRG00001018604,XM_003497884,XP_003497932,"['GO:0005886', 'GO:0042803', 'GO:0009749', 'GO:0030141', 'GO:0006882', 'GO:0005385', 'GO:0005385', 'GO:0006882', 'GO:0030667', 'GO:0005385', 'GO:0031410', 'GO:0006829', 'GO:0030073', 'GO:0032119', 'GO:0030070', 'GO:0008324', 'GO:0006812', 'GO:0055085', 'GO:0016021', 'GO:0006829', 'GO:0062111', 'GO:0140826']", ,169026,SLC30A8
796,100763166,LOC100763166,cytochrome P450 2B1-like,,ENSCGRG00015023824,,XM_035438097,XP_035293988,, ,1555,CYP2B6
797,100764661,Dclk2,doublecortin like kinase 2,"This gene encodes a member of the protein kinase superfamily and the doublecortin family. The protein encoded by this gene contains two N-terminal doublecortin domains, which bind microtubules and regulate microtubule polymerization, a C-terminal serine/threonine protein kinase domain, which shows substantial homology to Ca2+/calmodulin-dependent protein kinase, and a serine/proline-rich domain in between the doublecortin and the protein kinase domains, which mediates multiple protein-protein interactions. The microtubule-polymerizing activity of the encoded protein is independent of its protein kinase activity. Mouse studies show that the DCX gene, another family member, and this gene share function in the establishment of hippocampal organization and that their absence results in a severe epileptic phenotype and lethality, as described in human patients with lissencephaly. Multiple alternatively spliced transcript variants have been identified. [provided by RefSeq, Sep 2010]",ENSCGRG00015025188,ENSCGRG00001024523,XM_035456995,XP_035312886,"['GO:0035556', 'GO:0006468', 'GO:0004672', 'GO:0005524', 'GO:0034504', 'GO:0021766', 'GO:0004672', 'GO:0000226', 'GO:0008017', 'GO:0018105', 'GO:1900181', 'GO:0021860', 'GO:0035556', 'GO:0006468', 'GO:0004672', 'GO:0005524', 'GO:0035556', 'GO:0006468', 'GO:0004672', 'GO:0005524', 'GO:0035556', 'GO:0006468', 'GO:0004672', 'GO:0005524']", ,166614,DCLK2
798,100768509,Ube2a,ubiquitin conjugating enzyme E2 A,"The modification of proteins with ubiquitin is an important cellular mechanism for targeting abnormal or short-lived proteins for degradation. Ubiquitination involves at least three classes of enzymes: ubiquitin-activating enzymes, ubiquitin-conjugating enzymes, and ubiquitin-protein ligases. This gene encodes a member of the E2 ubiquitin-conjugating enzyme family. This enzyme is required for post-replicative DNA damage repair, and may play a role in transcriptional regulation. Mutations in this gene are associated with cognitive disability. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Aug 2013]",ENSCGRG00015017302,ENSCGRG00001007581,XM_007640763,XP_007638953,"['GO:0006281', 'GO:0004842', 'GO:0033522', 'GO:0008284', 'GO:0009411', 'GO:0031625', 'GO:0051865', 'GO:0061631', 'GO:0070979', 'GO:0070936', 'GO:0033503', nan, nan]",G3H774,7319,UBE2A
799,100772524,Mok,MOK protein kinase,"This gene belongs to the MAP kinase superfamily. The gene was found to be regulated by caudal type transcription factor 2 (Cdx2) protein. The encoded protein, which is localized to epithelial cells in the intestinal crypt, may play a role in growth arrest and differentiation of cells of upper crypt and lower villus regions. Multiple alternatively spliced transcript variants encoding different isoforms have been observed for this gene. [provided by RefSeq, Dec 2012]",ENSCGRG00015018671,ENSCGRG00001012968,XM_016972355,XP_016827844,"['GO:0005634', 'GO:0005929', 'GO:0097546', 'GO:0006468', 'GO:0004672', 'GO:0005524', 'GO:0006468', 'GO:0004672', 'GO:0005524']", ,5891,MOK
800,100765573,LOC100765573,"GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase",,,,XM_027383887,XP_027239688,, ,440138,ALG11
801,100752744,Grhpr,glyoxylate and hydroxypyruvate reductase,"This gene encodes an enzyme with hydroxypyruvate reductase, glyoxylate reductase, and D-glycerate dehydrogenase enzymatic activities. The enzyme has widespread tissue expression and has a role in metabolism. Type II hyperoxaluria is caused by mutations in this gene. [provided by RefSeq, Jul 2008]",ENSCGRG00015028093,ENSCGRG00001013235,XM_007645301,XP_007643491,"['GO:0016491', 'GO:0016616', 'GO:0051287', 'GO:0008465', 'GO:0016618', 'GO:0030267', 'GO:0042803', 'GO:0070402', 'GO:0046487', 'GO:0005737', 'GO:1902494']", ,9380,GRHPR
802,100763640,Ptpmt1,protein tyrosine phosphatase mitochondrial 1,"Predicted to enable phosphatidylglycerophosphatase activity and phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity. Involved in regulation of intrinsic apoptotic signaling pathway. Located in mitochondrion. [provided by Alliance of Genome Resources, Apr 2022]",,ENSCGRG00001012152,XM_035440355,XP_035296246,"['GO:0032049', 'GO:0005739', 'GO:2001242', 'GO:0004439', 'GO:0008138', 'GO:0006470', 'GO:0016311', 'GO:0004721', 'GO:0016791', 'GO:0008962']", ,114971,PTPMT1
803,100770781,Padi6,peptidyl arginine deiminase 6,"This gene encodes a member of the peptidyl arginine deiminase family of enzymes, which catalyze the post-translational deimination of proteins by converting arginine residues into citrullines in the presence of calcium ions. The family members have distinct substrate specificities and tissue-specific expression patterns. This protein may play a role in cytoskeletal reorganization in the egg and in early embryo development. [provided by RefSeq, Sep 2012]",ENSCGRG00015025573,ENSCGRG00001005116,XM_016963627,XP_016819116,"['GO:0005737', 'GO:0007028', 'GO:0007010', 'GO:0043143', 'GO:0004668', 'GO:0045111', 'GO:0008104', 'GO:0060473', 'GO:0040016', 'GO:0004668', 'GO:0005509', 'GO:0005737']",A0A8C2LL21,353238,PADI6
804,100756593,Ptpre,protein tyrosine phosphatase receptor type E,"The protein encoded by this gene is a member of the protein tyrosine phosphatase (PTP) family. PTPs are known to be signaling molecules that regulate a variety of cellular processes including cell growth, differentiation, mitotic cycle, and oncogenic transformation. Several alternatively spliced transcript variants of this gene have been reported, at least two of which encode a receptor-type PTP that possesses a short extracellular domain, a single transmembrane region, and two tandem intracytoplasmic catalytic domains; another one encodes a PTP that contains a distinct hydrophilic N-terminus, and thus represents a nonreceptor-type isoform of this PTP. Studies of the similar gene in mice suggested the regulatory roles of this PTP in RAS related signal transduction pathways, cytokine-induced SATA signaling, as well as the activation of voltage-gated K+ channels. [provided by RefSeq, Oct 2015]",ENSCGRG00015000744,ENSCGRG00001012914,XM_027385177,XP_027240978,"['GO:0005886', 'GO:0005634', 'GO:0005737', 'GO:0006470', 'GO:0016311', 'GO:0004725', 'GO:0016791', 'GO:0006470', 'GO:0016311', 'GO:0004725', 'GO:0016791', 'GO:0006470', 'GO:0016311', 'GO:0004725', 'GO:0016791']",A0A8C2QH44,5791,PTPRE
805,100752644,Hsd17b14,hydroxysteroid 17-beta dehydrogenase 14,"17-beta-hydroxysteroid dehydrogenases, such as HSD17B14, are primarily involved in metabolism of steroids at the C17 position and also of other substrates, such as fatty acids, prostaglandins, and xenobiotics (Lukacik et al., 2007 [PubMed 17067289]).[supplied by OMIM, Jun 2009]",ENSCGRG00015016571,ENSCGRG00001023765,XM_035459970,XP_035315861,"[nan, 'GO:0042802', 'GO:0005829', 'GO:0004303', 'GO:0047045', 'GO:0006706', 'GO:0016491']", ,51171,HSD17B14
806,100769224,Sds,serine dehydratase,"This gene encodes one of three enzymes that are involved in metabolizing serine and glycine. L-serine dehydratase converts L-serine to pyruvate and ammonia and requires pyridoxal phosphate as a cofactor. The encoded protein can also metabolize threonine to NH4+ and 2-ketobutyrate. The encoded protein is found predominantly in the liver. [provided by RefSeq, Jul 2008]",ENSCGRG00015001100,ENSCGRG00001021709,XM_035461401,XP_035317292,"['GO:0030170', 'GO:0006520', 'GO:0003941', 'GO:0042803', 'GO:0006565', 'GO:0042866', 'GO:0005739', 'GO:0005829']", ,10993,SDS
807,100762147,LOC100762147,17-beta-hydroxysteroid dehydrogenase type 6,"The protein encoded by this gene has both oxidoreductase and epimerase activities and is involved in androgen catabolism. The oxidoreductase activity can convert 3 alpha-adiol to dihydrotestosterone, while the epimerase activity can convert androsterone to epi-androsterone. Both reactions use NAD+ as the preferred cofactor. This gene is a member of the retinol dehydrogenase family. [provided by RefSeq, Aug 2013]",ENSCGRG00015028366,ENSCGRG00001003931,XM_003506173,XP_003506221,"['GO:0016491', 'GO:0004303', 'GO:0047023', 'GO:0047024', 'GO:0047035', 'GO:0047044', 'GO:0047045', 'GO:0004745', 'GO:0062175']", ,8630,HSD17B6
