Gene Entrez ID,Gene Symbol,Gene Name,Gene Description,PICR Ensembl ID,CHOK1GS Ensembl ID,Transcript ID,Protein ID,GO Terms,Uniprot ID,Human Entrez ID,Human Gene Name,system
100773051,Ptpn18,protein tyrosine phosphatase non-receptor type 18,"The protein encoded by this gene is a member of the protein tyrosine phosphatase (PTP) family. PTPs are known to be signaling molecules that regulate a variety of cellular processes including cell growth, differentiation, the mitotic cycle, and oncogenic transformation. This PTP contains a PEST motif, which often serves as a protein-protein interaction domain, and may be related to protein intracellular half-live. This protein can differentially dephosphorylate autophosphorylated tyrosine kinases that are overexpressed in tumor tissues, and it appears to regulate HER2, a member of the epidermal growth factor receptor family of receptor tyrosine kinases. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Nov 2008]",ENSCGRG00015015815,ENSCGRG00001019318,XM_027440362,XP_027296163,"[nan, 'GO:0006470', 'GO:0016791', 'GO:0016311', 'GO:0004725', 'GO:0004726', 'GO:0001825', 'GO:0005634', 'GO:0005737']",A0A3L7INS3,26469,PTPN18,Protein Product Synthesis
100753345,Fmo2,flavin containing dimethylaniline monoxygenase 2,"This gene encodes a flavin-containing monooxygenase family member. It is an NADPH-dependent enzyme that catalyzes the N-oxidation of some primary alkylamines through an N-hydroxylamine intermediate. However, some human populations contain an allele (FMO2*2A) with a premature stop codon, resulting in a protein that is C-terminally-truncated, has no catalytic activity, and is likely degraded rapidly. This gene is found in a cluster with other related family members on chromosome 1. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Aug 2014]",ENSCGRG00015010634,ENSCGRG00001002790,XM_035457806,XP_035313697,"['GO:0016020', 'GO:0016491', 'GO:0050660', 'GO:0005783', 'GO:0005789', 'GO:0004497', 'GO:0050661', 'GO:0004499', 'GO:0043231', 'GO:0006082', 'GO:0006739', 'GO:0006805', 'GO:0009404', 'GO:0070995', 'GO:0072592', 'GO:0046322', 'GO:0097009', 'GO:0047822']", ,2327,FMO2,Amino Acid Metabolism
100761822,Man2c1,mannosidase alpha class 2C member 1,"Predicted to enable alpha-mannosidase activity. Predicted to be involved in oligosaccharide catabolic process. Located in nucleoplasm. [provided by Alliance of Genome Resources, Apr 2022]",ENSCGRG00015025157,ENSCGRG00001012082,XM_003497922,XP_003497970,"['GO:0005654', 'GO:0005829', 'GO:0009313', 'GO:0006013', 'GO:0004559', 'GO:0030246', 'GO:0005975', 'GO:0003824', 'GO:0004559', 'GO:0006013', 'GO:0004559', 'GO:0030246', 'GO:0005975', 'GO:0003824']", ,4123,MAN2C1,Protein Product Synthesis
100768220,Hpd,4-hydroxyphenylpyruvate dioxygenase,"The protein encoded by this gene is an enzyme in the catabolic pathway of tyrosine. The encoded protein catalyzes the conversion of 4-hydroxyphenylpyruvate to homogentisate. Defects in this gene are a cause of tyrosinemia type 3 (TYRO3) and hawkinsinuria (HAWK). Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jan 2010]",ENSCGRG00015025551,ENSCGRG00001020801,XM_035446916,XP_035302807,"['GO:0046872', 'GO:0051213', 'GO:0005789', 'GO:0009072', 'GO:0000139', 'GO:0003868', 'GO:0016701']", G3H255,3242,HPD,Amino Acid Metabolism
100757820,LOC100757820,cytosolic beta-glucosidase,,,,XM_007652233,XP_007650423,,A0A8C2QDM2,57733,GBA3,Carbohydrates Metabolism
100751499,LOC100751499,cytochrome c oxidase assembly protein COX15 homolog,"Cytochrome c oxidase (COX), the terminal component of the mitochondrial respiratory chain, catalyzes the electron transfer from reduced cytochrome c to oxygen. This component is a heteromeric complex consisting of 3 catalytic subunits encoded by mitochondrial genes and multiple structural subunits encoded by nuclear genes. The mitochondrially-encoded subunits function in electron transfer, and the nuclear-encoded subunits may function in the regulation and assembly of the complex. This nuclear gene encodes a protein which is not a structural subunit, but may be essential for the biogenesis of COX formation and may function in the hydroxylation of heme O, according to the yeast mutant studies. This protein is predicted to contain 5 transmembrane domains localized in the mitochondrial inner membrane. Alternative splicing of this gene generates two transcript variants diverging in the 3' region. [provided by RefSeq, Jul 2008]",ENSCGRG00015023980,ENSCGRG00001014605,XM_016980626,XP_016836115,"['GO:0016020', 'GO:0006784', 'GO:0016021', 'GO:0016653', 'GO:0060090', 'GO:0008535', 'GO:1902600', 'GO:0005654', 'GO:0005739', 'GO:0070069']", ,1355,COX15,Energy Metabolism
100750890,LOC100750890,stearoyl-CoA desaturase 2,"This gene encodes an enzyme involved in fatty acid biosynthesis, primarily the synthesis of oleic acid. The protein belongs to the fatty acid desaturase family and is an integral membrane protein located in the endoplasmic reticulum. Transcripts of approximately 3.9 and 5.2 kb, differing only by alternative polyadenlyation signals, have been detected. A gene encoding a similar enzyme is located on chromosome 4 and a pseudogene of this gene is located on chromosome 17. [provided by RefSeq, Sep 2015]",ENSCGRG00015023394,ENSCGRG00001023207,XM_003508444,XP_003508492,"['GO:0016020', 'GO:0046872', 'GO:0016491', 'GO:0006629', 'GO:0006631', 'GO:0006633', 'GO:0005789', 'GO:0016717', 'GO:0004768', 'GO:0032896', 'GO:1903966', 'GO:0005783', 'GO:0008610', 'GO:0016215', 'GO:0016053']",G3HZ97,6319,SCD,Lipid Metabolism
100768307,Pola2,"DNA polymerase alpha 2, accessory subunit","Predicted to enable DNA binding activity. Involved in DNA replication, synthesis of RNA primer. Located in cytosol and nucleoplasm. Part of alpha DNA polymerase:primase complex. [provided by Alliance of Genome Resources, Apr 2022]",ENSCGRG00015014524,ENSCGRG00001014528,XM_003514541,XP_003514589,"['GO:0005634', 'GO:0003677', 'GO:0006260', 'GO:0006606', 'GO:0005658', 'GO:0006269', 'GO:0006270', 'GO:0005654', 'GO:0005829', 'GO:0006260', 'GO:0003677']",G3IIW2,23649,POLA2,Energy Metabolism
100767410,Rfk,riboflavin kinase,"Riboflavin kinase (RFK; EC 2.7.1.26) is an essential enzyme that catalyzes the phosphorylation of riboflavin (vitamin B2) to form flavin mononucleotide (FMN), an obligatory step in vitamin B2 utilization and flavin cofactor synthesis (Karthikeyan et al., 2003 [PubMed 12623014]).[supplied by OMIM, Nov 2009]",ENSCGRG00015004778,ENSCGRG00001013646,XM_035461605,XP_035317496,"['GO:0006915', 'GO:0072593', 'GO:0033864', 'GO:0033864', 'GO:0009231', 'GO:0008531', 'GO:0008531', 'GO:0006771']", ,55312,RFK,Vitamin & Cofactor Metabolism
100757138,St6galnac6,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 6","ST6GALNAC6 belongs to a family of sialyltransferases that modify proteins and ceramides on the cell surface to alter cell-cell or cell-extracellular matrix interactions (Tsuchida et al., 2003 [PubMed 12668675]).[supplied by OMIM, Mar 2008]",ENSCGRG00015005750,ENSCGRG00001015092,XM_035458929,XP_035314820,"['GO:0008373', 'GO:0006486', 'GO:0008373', 'GO:0006486', 'GO:0005737', 'GO:0001665', 'GO:0001574', 'GO:0008373', 'GO:0009312', 'GO:0009100', 'GO:0006677', 'GO:0006687', 'GO:0008373', 'GO:0006486', 'GO:0008373', 'GO:0006486', 'GO:0016020', 'GO:0016740', 'GO:0016757', 'GO:0005794', 'GO:0006486', 'GO:0008373', 'GO:0097503']", ,30815,ST6GALNAC6,Lipid Metabolism
100753688,Etnppl,ethanolamine-phosphate phospho-lyase,"Enables ethanolamine-phosphate phospho-lyase activity. Predicted to be located in mitochondrial matrix. [provided by Alliance of Genome Resources, Apr 2022]",ENSCGRG00015005601,ENSCGRG00001001866,XM_003514043,XP_003514091,"['GO:0050459', 'GO:0008483', 'GO:0030170', 'GO:0003824']", ,64850,ETNPPL,Lipid Metabolism
100763963,Uckl1,uridine-cytidine kinase 1 like 1,"The protein encoded by this gene is a uridine kinase. Uridine kinases catalyze the phosphorylation of uridine to uridine monophosphate. This protein has been shown to bind to Epstein-Barr nuclear antigen 3 as well as natural killer lytic-associated molecule. Ubiquitination of this protein is enhanced by the presence of natural killer lytic-associated molecule. In addition, protein levels decrease in the presence of natural killer lytic-associated molecule, suggesting that association with natural killer lytic-associated molecule results in ubiquitination and subsequent degradation of this protein. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Nov 2014]",ENSCGRG00015017980,ENSCGRG00001000185,XM_035456334,XP_035312225,"['GO:0004849', 'GO:0016301', 'GO:0005524']",A0A8C2LAR7,54963,UCKL1,Nucleotide Metabolism
100766719,Sgms1,sphingomyelin synthase 1,"The protein encoded by this gene is predicted to be a five-pass transmembrane protein. This gene may be predominately expressed in brain. [provided by RefSeq, Jul 2008]",ENSCGRG00015021569,ENSCGRG00001010915,XM_007648117,XP_007646307,"['GO:0000139', 'GO:0033188', 'GO:0046513', 'GO:0046513', 'GO:0002950', 'GO:0002950', 'GO:0047493', 'GO:0006686', 'GO:0006686', 'GO:0000138', 'GO:0005515']",G3HW69,259230,SGMS1,Lipid Metabolism
100765249,Large1,LARGE xylosyl- and glucuronyltransferase 1,"This gene encodes a member of the N-acetylglucosaminyltransferase gene family. It encodes a glycosyltransferase which participates in glycosylation of alpha-dystroglycan, and may carry out the synthesis of glycoprotein and glycosphingolipid sugar chains. It may also be involved in the addition of a repeated disaccharide unit. The protein encoded by this gene is the glycotransferase that adds the final xylose and glucuronic acid to alpha-dystroglycan and thereby allows alpha-dystroglycan to bind ligands including laminin 211 and neurexin. Mutations in this gene cause several forms of congenital muscular dystrophy characterized by cognitive disability and abnormal glycosylation of alpha-dystroglycan. Alternative splicing of this gene results in multiple transcript variants that encode the same protein. [provided by RefSeq, May 2018]",ENSCGRG00015018269,ENSCGRG00001017921,XM_035457550,XP_035313441,"['GO:0016020', 'GO:0016740', 'GO:0016757', 'GO:0015020', 'GO:0042285', 'GO:0035269', 'GO:0043403', 'GO:0046716', 'GO:0060538', 'GO:0043231', 'GO:0030145', 'GO:0005794', 'GO:0044238', 'GO:0034645', 'GO:0008194', 'GO:0016758', 'GO:0006486', 'GO:0000139']",G3HN56,9215,LARGE1,Lipid Metabolism
100751451,Lcat,lecithin-cholesterol acyltransferase,"This gene encodes the extracellular cholesterol esterifying enzyme, lecithin-cholesterol acyltransferase. The esterification of cholesterol is required for cholesterol transport. Mutations in this gene have been found to cause fish-eye disease as well as LCAT deficiency. [provided by RefSeq, Jul 2008]",ENSCGRG00015008255,ENSCGRG00001010146,XM_003504283,XP_003504331,"['GO:0003847', 'GO:0005615', 'GO:0008203', 'GO:0042632', 'GO:0030301', 'GO:0046470', 'GO:0042158', 'GO:0004607', 'GO:0034186', 'GO:0006644', 'GO:0006656', 'GO:0034372', 'GO:0034375', 'GO:0043691', 'GO:0090107', 'GO:0034364', 'GO:0008374', 'GO:0006629', 'GO:0047179', 'GO:0004771']", ,3931,LCAT,Lipid Metabolism
100756793,Map2k3,mitogen-activated protein kinase kinase 3,"The protein encoded by this gene is a dual specificity protein kinase that belongs to the MAP kinase kinase family. This kinase is activated by mitogenic and environmental stress, and participates in the MAP kinase-mediated signaling cascade. It phosphorylates and thus activates MAPK14/p38-MAPK. This kinase can be activated by insulin, and is necessary for the expression of glucose transporter. Expression of RAS oncogene is found to result in the accumulation of the active form of this kinase, which thus leads to the constitutive activation of MAPK14, and confers oncogenic transformation of primary cells. The inhibition of this kinase is involved in the pathogenesis of Yersina pseudotuberculosis. Multiple alternatively spliced transcript variants that encode distinct isoforms have been reported for this gene. [provided by RefSeq, Jul 2008]",ENSCGRG00015015929,ENSCGRG00001024193,XM_027441231,XP_027297032,"['GO:0006468', 'GO:0004672', 'GO:0005524', 'GO:0045893', 'GO:0045860', 'GO:0019901', 'GO:0060048', 'GO:0043410', 'GO:0043536', 'GO:0000165', 'GO:0006954', 'GO:0001817', 'GO:0035924', 'GO:0004708', 'GO:0038066', 'GO:0006468', 'GO:0004672', 'GO:0005524', 'GO:0035331']", ,5606,MAP2K3,Protein Product Synthesis
100774376,Pah,phenylalanine hydroxylase,"This gene encodes a member of the biopterin-dependent aromatic amino acid hydroxylase protein family. The encoded phenylalanine hydroxylase enzyme hydroxylates phenylalanine to tyrosine and is the rate-limiting step in phenylalanine catabolism. Deficiency of this enzyme activity results in the autosomal recessive disorder phenylketonuria. [provided by RefSeq, Aug 2017]",ENSCGRG00015013769,ENSCGRG00001019844,XM_035454035,XP_035309926,"['GO:0004505', 'GO:0004505', 'GO:0006559', 'GO:0004505', 'GO:0016714', 'GO:0009072', 'GO:0004497', 'GO:0005506', nan, 'GO:0016714', 'GO:0009072', 'GO:0004497', 'GO:0005506']", ,5053,PAH,Amino Acid Metabolism
100764837,Ptprb,protein tyrosine phosphatase receptor type B,"The protein encoded by this gene is a member of the protein tyrosine phosphatase (PTP) family. PTPs are known to be signaling molecules that regulate a variety of cellular processes including cell growth, differentiation, mitotic cycle, and oncogenic transformation. This PTP contains an extracellular domain, a single transmembrane segment and one intracytoplasmic catalytic domain, thus belongs to receptor type PTP. The extracellular region of this PTP is composed of multiple fibronectin type_III repeats, which was shown to interact with neuronal receptor and cell adhesion molecules, such as contactin and tenascin C. This protein was also found to interact with sodium channels, and thus may regulate sodium channels by altering tyrosine phosphorylation status. The functions of the interaction partners of this protein implicate the roles of this PTP in cell adhesion, neurite growth, and neuronal differentiation. Alternate transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, May 2011]",ENSCGRG00015008372,ENSCGRG00001016818,XM_003499237,XP_003499285,"['GO:0043235', 'GO:0016311', 'GO:0045296', 'GO:0006470', 'GO:0016311', 'GO:0004725', 'GO:0016791', 'GO:0005515']", ,5787,PTPRB,Protein Product Synthesis
100689098,Mogs,mannosyl-oligosaccharide glucosidase,"This gene encodes the first enzyme in the N-linked oligosaccharide processing pathway. The enzyme cleaves the distal alpha-1,2-linked glucose residue from the Glc(3)-Man(9)-GlcNAc(2) oligosaccharide precursor. This protein is located in the lumen of the endoplasmic reticulum. Defects in this gene are a cause of type IIb congenital disorder of glycosylation (CDGIIb). Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Mar 2009]",ENSCGRG00015014509,ENSCGRG00001001906,XM_003511143,XP_003511191,"['GO:0005783', 'GO:0009311', 'GO:0004573', 'GO:0005975']",G3I7V6,7841,MOGS,Protein Product Synthesis
100762115,LOC100762115,pancreatic triacylglycerol lipase,"This gene encodes a member of the lipase family of proteins. The encoded enzyme is secreted by the pancreas and hydrolyzes triglycerides in the small intestine, and is essential for the efficient digestion of dietary fats. Inhibition of the encoded enzyme may prevent high-fat diet-induced obesity in mice and result in weight loss in human patients with obesity. Mutations in this gene cause congenital pancreatic lipase deficiency, a rare disorder characterized by steatorrhea. [provided by RefSeq, Jul 2016]",ENSCGRG00015010344,ENSCGRG00001011958,XM_035438420,XP_035294311,"['GO:0004806', 'GO:0030299', 'GO:0052689', 'GO:0004806', 'GO:0016298', 'GO:0006629', 'GO:0005515']", ,5406,PNLIP,Vitamin & Cofactor Metabolism
100762235,Hmgcs1,3-hydroxy-3-methylglutaryl-CoA synthase 1,"Enables protein homodimerization activity. Predicted to be involved in acetyl-CoA metabolic process and farnesyl diphosphate biosynthetic process, mevalonate pathway. Predicted to be located in cytoplasm. Predicted to be active in cytosol. [provided by Alliance of Genome Resources, Apr 2022]",ENSCGRG00015020108,ENSCGRG00001021007,XM_007645446,XP_007643636,"['GO:0042803', 'GO:0010142', 'GO:0006084', 'GO:0004421', 'GO:0008299', 'GO:0016746']",G3HMY0,3157,HMGCS1,Lipid Metabolism
100756944,Trmt10c,"tRNA methyltransferase 10C, mitochondrial RNase P subunit","This gene encodes the precursor of a subunit of the mitochondrial ribonuclease P, which is involved in 5' processing of mitochondrial tRNAs. The encoded protein may confer RNA-binding capacity to mitochondrial ribonuclease P and may be essential for transcript processing, RNA modification, translation and mitochondrial respiration. [provided by RefSeq, Nov 2012]",,ENSCGRG00001006603,XM_003506427,XP_003506475,"['GO:0000049', 'GO:0042802', 'GO:0005654', 'GO:0042645', 'GO:0005739', 'GO:0080009', 'GO:0009019', 'GO:0016429', 'GO:0061953', 'GO:0000964', 'GO:0070131', 'GO:0090646', 'GO:0097745', 'GO:1990180', 'GO:0008033', 'GO:0005739', 'GO:0070901', 'GO:0030678', 'GO:0043527']",A0A8C2LLH2,54931,TRMT10C,Amino Acid Metabolism
100763541,LOC100763541,cytochrome c-type heme lyase,"The protein encoded by this gene is an enzyme that covalently links a heme group to the apoprotein of cytochrome c. Defects in this gene are a cause of microphthalmia syndromic type 7 (MCOPS7). Three transcript variants encoding the same protein have been found for this gene. [provided by RefSeq, Jan 2010]",ENSCGRG00015013710,ENSCGRG00001023787,XM_003512866,XP_003512914,"['GO:0016020', 'GO:0016829', 'GO:0046872', 'GO:0005739', 'GO:0005743', 'GO:0004408', 'GO:0020037', 'GO:0018063', 'GO:0005829']",G3IDF9,3052,HCCS,Vitamin & Cofactor Metabolism
100769144,Ctsc,cathepsin C,"This gene encodes a member of the peptidase C1 family and lysosomal cysteine proteinase that appears to be a central coordinator for activation of many serine proteinases in cells of the immune system. Alternative splicing results in multiple transcript variants, at least one of which encodes a preproprotein that is proteolytically processed to generate heavy and light chains that form a disulfide-linked dimer. A portion of the propeptide acts as an intramolecular chaperone for the folding and stabilization of the mature enzyme. This enzyme requires chloride ions for activity and can degrade glucagon. Defects in the encoded protein have been shown to be a cause of Papillon-Lefevre syndrome, an autosomal recessive disorder characterized by palmoplantar keratosis and periodontitis. [provided by RefSeq, Nov 2015]",ENSCGRG00015006166,ENSCGRG00001006267,XM_003511081,XP_003511129,"['GO:0008234', 'GO:0006508', 'GO:0006508', 'GO:0004252', 'GO:0005654', 'GO:0005737', 'GO:0043231', 'GO:1903980', 'GO:0005813', 'GO:2001235', 'GO:0031642', 'GO:0016505', 'GO:0001913', 'GO:0006508', 'GO:0008234']", ,1075,CTSC,Protein Product Synthesis
100755005,Pla2g2f,phospholipase A2 group IIF,"Enables calcium-dependent phospholipase A2 activity. Involved in glycerophospholipid metabolic process. Predicted to be located in cytosol and extracellular region. [provided by Alliance of Genome Resources, Apr 2022]",ENSCGRG00015024494,ENSCGRG00001013150,XM_003506899,XP_003506947,"['GO:0005576', 'GO:0016787', 'GO:0046872', 'GO:0005509', 'GO:0006644', 'GO:0006629', 'GO:0004623', 'GO:0016042', 'GO:0050482', 'GO:0042130', 'GO:0047498', 'GO:0019369', 'GO:0036148', 'GO:0036150', 'GO:0036151', 'GO:0036152']",A0A3L7I8N6,64600,PLA2G2F,Lipid Metabolism
100764086,Pip4k2c,phosphatidylinositol-5-phosphate 4-kinase type 2 gamma,"Enables 1-phosphatidylinositol-4-phosphate 5-kinase activity and identical protein binding activity. Involved in several processes, including 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate biosynthetic process; negative regulation of 1-phosphatidylinositol-4-phosphate 5-kinase activity; and positive regulation of autophagosome assembly. Located in several cellular components, including autophagosome; cytosol; and nucleoplasm. [provided by Alliance of Genome Resources, Apr 2022]",ENSCGRG00015000327,ENSCGRG00001011872,XM_027440128,XP_027295929,"['GO:0016740', 'GO:0000166', 'GO:0005524', 'GO:0016301', 'GO:0016307', 'GO:0042802', 'GO:0010506', 'GO:0046488', 'GO:2000786', 'GO:0005776', 'GO:0016308', 'GO:1902635', 'GO:0043229', 'GO:0046627', 'GO:0090217', 'GO:0005654', 'GO:0005829', 'GO:0005886']", ,79837,PIP4K2C,Lipid Metabolism
100689373,Neu1,neuraminidase 1,"The protein encoded by this gene is a lysosomal enzyme that cleaves terminal sialic acid residues from substrates such as glycoproteins and glycolipids. In the lysosome, this enzyme is part of a heterotrimeric complex together with beta-galactosidase and cathepsin A (the latter is also referred to as 'protective protein'). Mutations in this gene can lead to sialidosis, a lysosomal storage disease that can be type 1 (cherry red spot-myoclonus syndrome or normosomatic type), which is late-onset, or type 2 (the dysmorphic type), which occurs at an earlier age with increased severity. [provided by RefSeq, Jul 2008]",ENSCGRG00015028441,ENSCGRG00001010017,NM_001246800,NP_001233729,"['GO:0016042', 'GO:0004308', 'GO:0016997', 'GO:0009313', 'GO:0005764', 'GO:0030054', 'GO:0043231', 'GO:0052794', 'GO:0052795', 'GO:0052796']",B8Y440,4758,NEU1,Protein Product Synthesis
100760749,Aldoc,"aldolase, fructose-bisphosphate C","This gene encodes a member of the class I fructose-biphosphate aldolase gene family. Expressed specifically in the hippocampus and Purkinje cells of the brain, the encoded protein is a glycolytic enzyme that catalyzes the reversible aldol cleavage of fructose-1,6-biphosphate and fructose 1-phosphate to dihydroxyacetone phosphate and either glyceraldehyde-3-phosphate or glyceraldehyde, respectively. [provided by RefSeq, Jul 2008]",ENSCGRG00015015483,ENSCGRG00001012153,XM_035438063,XP_035293954,"['GO:0016829', 'GO:0006096', 'GO:0004332', 'GO:0008092', 'GO:0030388', 'GO:0030855', 'GO:0006094']", ,230,ALDOC,Carbohydrates Metabolism
100767324,Pla2g12a,phospholipase A2 group XIIA,"Secreted phospholipase A2 (sPLA2) enzymes liberate arachidonic acid from phospholipids for production of eicosanoids and exert a variety of physiologic and pathologic effects. Group XII sPLA2s, such as PLA2G12A, have relatively low specific activity and are structurally and functionally distinct from other sPLA2s (Gelb et al., 2000 [PubMed 11031251]).[supplied by OMIM, Mar 2008]",ENSCGRG00015005062,ENSCGRG00001020911,XM_007652818,XP_007651008,"['GO:0004623', 'GO:0050482', 'GO:0006644', 'GO:0016042', 'GO:0004623', 'GO:0005509', 'GO:0005576']", ,81579,PLA2G12A,Lipid Metabolism
100768457,LOC100768457,cytochrome c oxidase subunit 6B1,,ENSCGRG00015026106,,XM_003511592,XP_003511640,,G3I9C4,1340,COX6B1,Energy Metabolism
100761333,Ndufs3,NADH:ubiquinone oxidoreductase core subunit S3,"This gene encodes one of the iron-sulfur protein (IP) components of mitochondrial NADH:ubiquinone oxidoreductase (complex I). Mutations in this gene are associated with Leigh syndrome resulting from mitochondrial complex I deficiency.[provided by RefSeq, Apr 2009]",ENSCGRG00015022155,ENSCGRG00001024136,XM_003497326,XP_003497374,"['GO:0016651', 'GO:0008137', 'GO:0003954', 'GO:0030308', 'GO:0072593', 'GO:2001243', 'GO:0005739', 'GO:0005747', 'GO:0016604', 'GO:0031966', 'GO:0006120', 'GO:0032981', 'GO:0005743']",G3GYL3,4722,NDUFS3,Energy Metabolism
100750633,Chia,chitinase acidic,,,,XM_027385538,XP_027241339,, ,27159,CHIA,Carbohydrates Metabolism
100752840,Hlcs,holocarboxylase synthetase,"This gene encodes an enzyme that catalyzes the binding of biotin to carboxylases and histones. The protein plays an important role in gluconeogenesis, fatty acid synthesis and branched chain amino acid catabolism. Defects in this gene are the cause of holocarboxylase synthetase deficiency. Multiple alternatively spliced variants, encoding the same protein, have been identified.[provided by RefSeq, Jun 2011]",ENSCGRG00015015086,ENSCGRG00001019608,XM_035459505,XP_035315396,"['GO:0005829', 'GO:0000785', 'GO:0004077', 'GO:0016363', 'GO:0019899', 'GO:0043687', 'GO:0004080', 'GO:0009374', 'GO:0018271', 'GO:0070781', 'GO:0005652', 'GO:0036211']", ,3141,HLCS,Vitamin & Cofactor Metabolism
100761641,Dbi,"diazepam binding inhibitor, acyl-CoA binding protein","This gene encodes diazepam binding inhibitor, a protein that is regulated by hormones and is involved in lipid metabolism and the displacement of beta-carbolines and benzodiazepines, which modulate signal transduction at type A gamma-aminobutyric acid receptors located in brain synapses. The protein is conserved from yeast to mammals, with the most highly conserved domain consisting of seven contiguous residues that constitute the hydrophobic binding site for medium- and long-chain acyl-Coenzyme A esters. Diazepam binding inhibitor is also known to mediate the feedback regulation of pancreatic secretion and the postprandial release of cholecystokinin, in addition to its role as a mediator in corticotropin-dependent adrenal steroidogenesis. Three pseudogenes located on chromosomes 6, 8 and 16 have been identified. Multiple transcript variants encoding different isoforms have been described for this gene. [provided by RefSeq, Jul 2008]",ENSCGRG00015008781,ENSCGRG00001016035,XM_003499446,XP_003499494,"['GO:0000062', 'GO:0000062']",A0A3L7HKD0,1622,DBI,Lipid Metabolism
100750781,Mtmr3,myotubularin related protein 3,"This gene encodes a member of the myotubularin dual specificity protein phosphatase gene family. The encoded protein is structurally similar to myotubularin but in addition contains a FYVE domain and an N-terminal PH-GRAM domain. The protein can self-associate and also form heteromers with another myotubularin related protein. The protein binds to phosphoinositide lipids through the PH-GRAM domain, and can hydrolyze phosphatidylinositol(3)-phosphate and phosphatidylinositol(3,5)-biphosphate in vitro. The encoded protein has been observed to have a perinuclear, possibly membrane-bound, distribution in cells, but it has also been found free in the cytoplasm. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]",ENSCGRG00015001575,ENSCGRG00001022890,XM_035457704,XP_035313595,"['GO:0016020', 'GO:0046872', 'GO:0004721', 'GO:0005737', 'GO:0004725', 'GO:0016791', 'GO:0016311', 'GO:0006629', 'GO:0004438', 'GO:0004722', 'GO:0019903', 'GO:0052629', 'GO:0006470', 'GO:0042149', 'GO:0046856', 'GO:0060304', 'GO:1904562', 'GO:2000785', 'GO:0019898', 'GO:0008138', 'GO:0016311', 'GO:0016791', 'GO:0046872']",A0A8C2MXA8,8897,MTMR3,Lipid Metabolism
100762838,Got2,glutamic-oxaloacetic transaminase 2,"Glutamic-oxaloacetic transaminase is a pyridoxal phosphate-dependent enzyme which exists in cytoplasmic and inner-membrane mitochondrial forms, GOT1 and GOT2, respectively. GOT plays a role in amino acid metabolism and the urea and tricarboxylic acid cycles. The two enzymes are homodimeric and show close homology. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Oct 2013]",ENSCGRG00015003312,ENSCGRG00001020789,XM_003509580,XP_003509628,"['GO:0005886', 'GO:0005739', 'GO:0004069', 'GO:0005759', 'GO:0045471', 'GO:0015908', 'GO:0006107', 'GO:0006532', 'GO:0019550', 'GO:0019551', 'GO:0006533', 'GO:0008483', 'GO:0006520', 'GO:0009058', 'GO:0030170', 'GO:0003824', 'GO:0008483', 'GO:0006520', 'GO:0009058', 'GO:0030170', 'GO:0003824']",G3I2Y1,2806,GOT2,Amino Acid Metabolism
100768175,Scd5,stearoyl-CoA desaturase 5,,,,XM_007651525,XP_007649715,, ,79966,SCD5,Lipid Metabolism
100767025,Dhdds,dehydrodolichyl diphosphate synthase subunit,"The protein encoded by this gene catalyzes cis-prenyl chain elongation to produce the polyprenyl backbone of dolichol, a glycosyl carrier lipid required for the biosynthesis of several classes of glycoproteins. Mutations in this gene are associated with retinitis pigmentosa type 59. Alternatively spliced transcript variants encoding different isoforms have been described for this gene. [provided by RefSeq, Aug 2011]",ENSCGRG00015017264,ENSCGRG00001014342,XM_035460657,XP_035316548,"['GO:0016740', 'GO:0016765', 'GO:0002094', 'GO:0045547', 'GO:0006489', 'GO:1904423', 'GO:0016740', 'GO:0016765', 'GO:0016740', 'GO:0016765']",A0A061IHF3,3151,HMGN2,Protein Product Synthesis
100689173,Hs6st1,heparan sulfate 6-O-sulfotransferase 1,"The protein encoded by this gene is a member of the heparan sulfate biosynthetic enzyme family. Heparan sulfate biosynthetic enzymes are key components in generating a myriad of distinct heparan sulfate fine structures that carry out multiple biological activities. This enzyme is a type II integral membrane protein and is responsible for 6-O-sulfation of heparan sulfate. This enzyme does not share significant sequence similarity with other known sulfotransferases. A pseudogene located on chromosome 1 has been found for this gene. [provided by RefSeq, Jul 2008]",ENSCGRG00015015642,ENSCGRG00001014645,XM_007625908,XP_007624098,"['GO:0048666', 'GO:0005794', 'GO:0001525', 'GO:0048286', 'GO:0060716', 'GO:0015012', 'GO:0015015', 'GO:0017095', 'GO:0008146', 'GO:0016021']", ,9394,HS6ST1,Protein Product Synthesis
