SYMBOL,ComplexID,ComplexName,Organism,subunits(Entrez.IDs),subunits(Gene.name),subunits(Gene.name.syn),GO.description,FunCat.description
CUL3,6266,"Ubiquitin E3 ligase (CUL3, KLHL3, WNK4)",Human,8452;65266;26249,CUL3;WNK4;KLHL3,KIAA0617;PRKWNK4;KIAA1129,None,None
CUL3,6267,"Ubiquitin E3 ligase (CUL3, KLHL3)",Human,8452;26249,CUL3;KLHL3,KIAA0617;KIAA1129,ligase activity;protein ubiquitination;ion homeostasis;ubiquitin ligase complex;ubiquitin-dependent protein catabolic process;cullin-RING ubiquitin ligase complex,"modification by ubiquitination, deubiquitination;homeostasis;proteasomal degradation (ubiquitin/proteasomal pathway)"
CUL3,6659,"Ubiquitin E3 ligase (CCDC22, COMMD8, CUL3)",Human,28952;8452;54951,CCDC22;CUL3;COMMD8,"CXorf37,JM1;KIAA0617;MDS022",protein ubiquitination;cullin-RING ubiquitin ligase complex,"modification by ubiquitination, deubiquitination"
CUL3,6815,DRD4-KLHL12-CUL3 complex,Human,1815;8452;59349,DRD4;CUL3;KLHL12,D4DR;KIAA0617;C3IP1,regulation of protein ubiquitination,None
CUL3,7368,"Ubiquitin E3 ligase (CUL3, KEAP1, RBX1)",Human,9978;8452;9817,RBX1;CUL3;KEAP1,"RNF75, ROC1, HRT1;KIAA0617;INRF2 KIAA0132 KLHL19",cullin-RING ubiquitin ligase complex,None
CUL3,7370,CUL3-KCTD11 complex,Human,8452;147040,CUL3;KCTD11,"KIAA0617;C17orf36,REN",None,None
CUL3,7371,CUL3-KCTD6 complex,Human,8452;200845,CUL3;KCTD6,KIAA0617;None,None,None
CUL3,7517,"Ubiquitin E3 ligase (CUL3, KLHL7, RBX1)",Human,9978;8452;55975,RBX1;CUL3;KLHL7,"RNF75, ROC1, HRT1;KIAA0617;None",cullin-RING ubiquitin ligase complex;proteasome-mediated ubiquitin-dependent protein catabolic process,proteasomal degradation (ubiquitin/proteasomal pathway)
CUL3,7518,"Ubiquitin E3 ligase (CUL3, KLHL8)",Human,8452;57563,CUL3;KLHL8,KIAA0617;KIAA1378,cullin-RING ubiquitin ligase complex;proteasome-mediated ubiquitin-dependent protein catabolic process,proteasomal degradation (ubiquitin/proteasomal pathway)
CUL3,7522,"Ubiquitin E3 ligase (CUL3, KLHL12, PEF1, PDCD6)",Human,10016;8452;59349;553115,PDCD6;CUL3;KLHL12;PEF1,ALG2;KIAA0617;C3IP1;ABP32,cullin-RING ubiquitin ligase complex;COPII vesicle coat;response to calcium ion;proteasome-mediated ubiquitin-dependent protein catabolic process,proteasomal degradation (ubiquitin/proteasomal pathway)
CUL3,7523,"Ubiquitin E3 ligase (CUL3, KLHL9, KLHL13, RBX1)",Human,9978;8452;55958;90293,RBX1;CUL3;KLHL9;KLHL13,"RNF75, ROC1, HRT1;KIAA0617;KIAA1354;BKLHD2,KIAA1309",cullin-RING ubiquitin ligase complex;mitotic cytokinetic process;proteasome-mediated ubiquitin-dependent protein catabolic process,proteasomal degradation (ubiquitin/proteasomal pathway)
CUL3,7524,"Ubiquitin E3 ligase (CUL3, KLHL20, RBX1)",Human,9978;8452;27252,RBX1;CUL3;KLHL20,"RNF75, ROC1, HRT1;KIAA0617;KLEIP,KLHLX",cullin-RING ubiquitin ligase complex;negative regulation of autophagic cell death;proteasome-mediated ubiquitin-dependent protein catabolic process,proteasomal degradation (ubiquitin/proteasomal pathway)
CUL3,7525,"Ubiquitin E3 ligase (CUL3, KLHL24, RBX1)",Human,9978;8452;54800,RBX1;CUL3;KLHL24,"RNF75, ROC1, HRT1;KIAA0617;DRE1",cullin-RING ubiquitin ligase complex;proteasome-mediated ubiquitin-dependent protein catabolic process,proteasomal degradation (ubiquitin/proteasomal pathway)
CUL3,7526,"Ubiquitin E3 ligase (CUL3, KLHL25)",Human,8452;64410,CUL3;KLHL25,KIAA0617;ENC2,cullin-RING ubiquitin ligase complex;proteasome-mediated ubiquitin-dependent protein catabolic process;regulation of translation,proteasomal degradation (ubiquitin/proteasomal pathway);translational control
CUL3,7530,"Ubiquitin E3 ligase (Cul3, ENC1, Rbx1)",Mammalia,301555;8507;300084,Cul3;ENC1;Rbx1,"None;KLHL37,NRPB,PIG10;None",cullin-RING ubiquitin ligase complex,None
CUL3,7531,"Ubiquitin E3 ligase (Cul3, GAN1, Rbx1)",Mammalia,301555;300084;8139,Cul3;Rbx1;GAN,"None;None;GAN1,KLHL16",cullin-RING ubiquitin ligase complex,None
CUL3,7532,"Ubiquitin E3 ligase (Cul3, Klhl41, Rbx1)",Mammalia,228003;301555;300084,Klhl41;Cul3;Rbx1,Kbtbd10;None;None,cullin-RING ubiquitin ligase complex,None
CUL3,7533,"Ubiquitin E3 ligase (CUL3, KLHL42)",Human,8452;57542,CUL3;KLHL42,"KIAA0617;KIAA1340,KLHDC5",cullin-RING ubiquitin ligase complex;regulation of mitotic cell cycle phase transition,None
CUL3,8448,CUL3-KBTBD6 complex,Human,8452;89890,CUL3;KBTBD6,KIAA0617;None,protein ubiquitination,"modification by ubiquitination, deubiquitination"
CUL3,8449,CUL3-KBTBD7 complex,Human,8452;84078,CUL3;KBTBD7,KIAA0617;None,protein ubiquitination,"modification by ubiquitination, deubiquitination"
CYTH2,961,Tamalin-mGluR1a-cytohesin complex,Rat,24414;116692;192254,Grm1;Cyth2;Tamalin,Gprc1a Mglur1;Pscd2 Sec7b;Grasp,intracellular protein transport;protein targeting;protein transport;glutamate receptor signaling pathway,"protein targeting, sorting and translocation;protein transport;glutamate signalling pathway"
CYTH2,6922,Cyth2-Src complex,Mouse,20779;19158,Src;Cyth2,"pp60c-src;Pscd2,Sec7b","wound healing, spreading of cells",None
CYTH3,1063,GRASP-GRP1 complex,Human,9265;160622,CYTH3;TAMALIN,ARNO3 GRP1 PSCD3;GRASP,small GTPase mediated signal transduction;plasma membrane,small GTPase mediated signal transduction;eukaryotic plasma membrane / membrane attached
DAD1,1199,Oligosaccharyltransferase complex (Stt3A variant),Human,6184;6185;1650;3703;1603;84061,RPN1;RPN2;DDOST;STT3A;DAD1;MAGT1,None;None;KIAA0115 OST48;ITM1 TMC;;IAG2,protein N-linked glycosylation;endoplasmic reticulum,"N-directed glycosylation, deglycosylation;endoplasmic reticulum"
DAD1,1200,Oligosaccharyltransferase complex (Stt3B variant),Human,6184;6185;1650;1603;7991;201595;84061,RPN1;RPN2;DDOST;DAD1;TUSC3;STT3B;MAGT1,None;None;KIAA0115 OST48;;N33;SIMP;IAG2,protein N-linked glycosylation;endoplasmic reticulum,"N-directed glycosylation, deglycosylation;endoplasmic reticulum"
DAD1,1203,Oligosaccharyltransferase OSTC-I,Dog,None;476516;477223;489300;100688081;480131;404012,DAD1;RPN1;RPN2;STT3A;OSTC;KRTCAP2;DDOST,None;None;None;None;None;KCP2;OST48,protein N-linked glycosylation;endoplasmic reticulum,"N-directed glycosylation, deglycosylation;endoplasmic reticulum"
DAD1,1208,Oligosaccharyltransferase OSTC-II,Dog,None;476516;477223;489300;404006;404017;404018;100688081;480131;404012,DAD1;RPN1;RPN2;STT3A;SEC61A1;SEC61G;SEC61B;OSTC;KRTCAP2;DDOST,None;None;None;None;None;None;None;None;KCP2;OST48,protein N-linked glycosylation;endoplasmic reticulum,"N-directed glycosylation, deglycosylation;endoplasmic reticulum"
DAD1,1209,Oligosaccharyltransferase OSTC-III,Dog,None;None;476516;477223;489300;403951;404006;404018;100688081;480131;404012,SSR3;DAD1;RPN1;RPN2;STT3A;SSR1;SEC61A1;SEC61B;OSTC;KRTCAP2;DDOST,None;None;None;None;None;None;None;None;None;KCP2;OST48,protein N-linked glycosylation;endoplasmic reticulum,"N-directed glycosylation, deglycosylation;endoplasmic reticulum"
DAD1,7322,DAD1-DDOST-RPN1-RPN2 complex,Dog,None;476516;477223;404012,DAD1;RPN1;RPN2;DDOST,None;None;None;OST48,protein N-linked glycosylation,"N-directed glycosylation, deglycosylation"
DDIT3,5383,TRIB3-DDIT3 complex,Human,1649;57761,DDIT3;TRIB3,CHOP CHOP10 GADD153;C20orf97 NIPK SKIP3 TRB3,"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated",transcriptional control
DDOST,1199,Oligosaccharyltransferase complex (Stt3A variant),Human,6184;6185;1650;3703;1603;84061,RPN1;RPN2;DDOST;STT3A;DAD1;MAGT1,None;None;KIAA0115 OST48;ITM1 TMC;;IAG2,protein N-linked glycosylation;endoplasmic reticulum,"N-directed glycosylation, deglycosylation;endoplasmic reticulum"
DDOST,1200,Oligosaccharyltransferase complex (Stt3B variant),Human,6184;6185;1650;1603;7991;201595;84061,RPN1;RPN2;DDOST;DAD1;TUSC3;STT3B;MAGT1,None;None;KIAA0115 OST48;;N33;SIMP;IAG2,protein N-linked glycosylation;endoplasmic reticulum,"N-directed glycosylation, deglycosylation;endoplasmic reticulum"
DDOST,1203,Oligosaccharyltransferase OSTC-I,Dog,None;476516;477223;489300;100688081;480131;404012,DAD1;RPN1;RPN2;STT3A;OSTC;KRTCAP2;DDOST,None;None;None;None;None;KCP2;OST48,protein N-linked glycosylation;endoplasmic reticulum,"N-directed glycosylation, deglycosylation;endoplasmic reticulum"
DDOST,1208,Oligosaccharyltransferase OSTC-II,Dog,None;476516;477223;489300;404006;404017;404018;100688081;480131;404012,DAD1;RPN1;RPN2;STT3A;SEC61A1;SEC61G;SEC61B;OSTC;KRTCAP2;DDOST,None;None;None;None;None;None;None;None;KCP2;OST48,protein N-linked glycosylation;endoplasmic reticulum,"N-directed glycosylation, deglycosylation;endoplasmic reticulum"
DDOST,1209,Oligosaccharyltransferase OSTC-III,Dog,None;None;476516;477223;489300;403951;404006;404018;100688081;480131;404012,SSR3;DAD1;RPN1;RPN2;STT3A;SSR1;SEC61A1;SEC61B;OSTC;KRTCAP2;DDOST,None;None;None;None;None;None;None;None;None;KCP2;OST48,protein N-linked glycosylation;endoplasmic reticulum,"N-directed glycosylation, deglycosylation;endoplasmic reticulum"
DDOST,6131,SELK multiprotein complex,Human,6184;6185;821;1650;3703;7415;55829;79139;51009;58515,RPN1;RPN2;CANX;DDOST;STT3A;VCP;SELENOS;DERL1;DERL2;SELENOK,None;None;None;KIAA0115 OST48;ITM1 TMC;p97;SELS VIMP;DER1;DER2; FLANA;SELK,endoplasmic reticulum unfolded protein response;ERAD pathway,unfolded protein response (e.g. ER quality control)
DDOST,7322,DAD1-DDOST-RPN1-RPN2 complex,Dog,None;476516;477223;404012,DAD1;RPN1;RPN2;DDOST,None;None;None;OST48,protein N-linked glycosylation,"N-directed glycosylation, deglycosylation"
DERL1,156,Retrotranslocation complex,Human,50628;84447;79139,GEMIN4;SYVN1;DERL1,None;HRD1 KIAA1810;DER1,protein transport;protein transporter activity,protein transport
DERL1,4976,SVIP-VCP-DERL1 complex,Human,7415;258010;79139,VCP;SVIP;DERL1,p97;None;DER1,endoplasmic reticulum unfolded protein response;endoplasmic reticulum,unfolded protein response (e.g. ER quality control);endoplasmic reticulum
DERL1,4977,AMFR-DERL1-VCP complex,Human,7415;79139;267,VCP;DERL1;AMFR,"p97;DER1;RNF45, GP78",proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;endoplasmic reticulum unfolded protein response;endoplasmic reticulum,proteasomal degradation (ubiquitin/proteasomal pathway);unfolded protein response (e.g. ER quality control);endoplasmic reticulum
DERL1,4997,DERL1-VCP-VIMP complex,Human,7415;55829;79139,VCP;SELENOS;DERL1,p97;SELS VIMP;DER1,"ERAD pathway;retrograde protein transport, ER to cytosol",None
DERL1,4999,VCP-VIMP-DERL1-DERL2-HRD1-SEL1L complex,Human,7415;84447;55829;79139;51009;6400,VCP;SYVN1;SELENOS;DERL1;DERL2;SEL1L,p97;HRD1 KIAA1810;SELS VIMP;DER1;DER2; FLANA;TSA305,endoplasmic reticulum unfolded protein response;endoplasmic reticulum;ERAD pathway,unfolded protein response (e.g. ER quality control);endoplasmic reticulum
DERL1,5685,"Membrane protein complex (DERL1, NPLOC4, UFD1L, VCP, VIMP)",Human,7415;55666;7353;55829;79139,VCP;NPLOC4;UFD1;SELENOS;DERL1,p97;KIAA1499 NPL4;UFD1L;SELS VIMP;DER1,"retrograde protein transport, ER to cytosol",None
DERL1,6131,SELK multiprotein complex,Human,6184;6185;821;1650;3703;7415;55829;79139;51009;58515,RPN1;RPN2;CANX;DDOST;STT3A;VCP;SELENOS;DERL1;DERL2;SELENOK,None;None;None;KIAA0115 OST48;ITM1 TMC;p97;SELS VIMP;DER1;DER2; FLANA;SELK,endoplasmic reticulum unfolded protein response;ERAD pathway,unfolded protein response (e.g. ER quality control)
DERL1,7136,VCP-SELK-DERL1 complex,Human,7415;79139;58515,VCP;DERL1;SELENOK,p97;DER1;SELK,endoplasmic reticulum unfolded protein response;ERAD pathway,unfolded protein response (e.g. ER quality control)
DERL1,8497,ZFAND2B complex,Human,7917;7415;55666;130617;7353;23197;79139,BAG6;VCP;NPLOC4;ZFAND2B;UFD1;FAF2;DERL1,"BAT3, G3;p97;KIAA1499 NPL4;AIRAPL;UFD1L;ETEA, KIAA0887, UBXD8, UBXN3B;DER1",endoplasmic reticulum;protein targeting to ER,endoplasmic reticulum
DERL2,4998,VCP-VIMP-DERL2 complex,Human,7415;55829;51009,VCP;SELENOS;DERL2,p97;SELS VIMP;DER2; FLANA,endoplasmic reticulum unfolded protein response;endoplasmic reticulum;ERAD pathway,unfolded protein response (e.g. ER quality control);endoplasmic reticulum
DERL2,4999,VCP-VIMP-DERL1-DERL2-HRD1-SEL1L complex,Human,7415;84447;55829;79139;51009;6400,VCP;SYVN1;SELENOS;DERL1;DERL2;SEL1L,p97;HRD1 KIAA1810;SELS VIMP;DER1;DER2; FLANA;TSA305,endoplasmic reticulum unfolded protein response;endoplasmic reticulum;ERAD pathway,unfolded protein response (e.g. ER quality control);endoplasmic reticulum
DERL2,6131,SELK multiprotein complex,Human,6184;6185;821;1650;3703;7415;55829;79139;51009;58515,RPN1;RPN2;CANX;DDOST;STT3A;VCP;SELENOS;DERL1;DERL2;SELENOK,None;None;None;KIAA0115 OST48;ITM1 TMC;p97;SELS VIMP;DER1;DER2; FLANA;SELK,endoplasmic reticulum unfolded protein response;ERAD pathway,unfolded protein response (e.g. ER quality control)
DERL2,6859,HRD1 complex,Human,11160;3309;7184;682;10956;84447;23197;27248;51009;51439;6400;51465;550,ERLIN2;HSPA5;HSP90B1;BSG;OS9;SYVN1;FAF2;ERLEC1;DERL2;FAM8A1;SEL1L;UBE2J1;AUP1,"C8orf2, SPFH2;GRP78;GRP94, TRA1;None;None;HRD1 KIAA1810;ETEA, KIAA0887, UBXD8, UBXN3B;C2orf30,XTP3TPB;DER2; FLANA;AHCP;TSA305;NCUBE1;None",response to endoplasmic reticulum stress;endoplasmic reticulum membrane,None
DNAJA1,76,Dynein complex,Rat,29489;170714;65028;58945;116659;29564;65209;252902;83462,Dync1h1;Dynlrb1;Dnaja1;Dynll1;Dync1i2;Dync1i1;Dync2h1;Dync1li1;Dynlt1,Dhc1 Dnch1 Dnchc1 Dnec1 Dyhc Map1c;Dncl2a Dnlc2a;Hsj2 Rdj1;Dncl1 Dnclc1 Pin;Dnci2 Dncic2;Dnci1 Dncic1;Dhc1b Dlp4 Dnch2 Dnchc2;Dncli1;Tctel1 Tctex-1 Tctex1,locomotion;movement of cell or subcellular component;multicellular organismal movement;protein binding;cytoskeleton-dependent intracellular transport;endocytosis;cytoplasm,conversion to kinetic energy (e.g. movement);cell motility;protein binding;cytoskeleton-dependent transport;endocytosis;cytoplasm
DNAJA1,6329,BAX-DNAJA1-HSPA1B complex,Mammalia,None;3303;None,BAX;HSPA1B;DNAJA1,;None;,negative regulation of apoptotic process,anti-apoptosis
DNAJA2,6330,BAX-DNAJA2-HSPA1B complex,Mammalia,None;10294;3303,BAX;DNAJA2;HSPA1B,;CPR3 HIRIP4;None,negative regulation of apoptotic process,anti-apoptosis
DNAJB1,6396,DNJC3-DNAJB1-HSPA8 complex,Human,3312;3337;5611,HSPA8;DNAJB1;DNAJC3,"HSC70, HSP73, HSPA10;DNAJ1 HDJ1 HSPF1;P58IPK PRKRI",PKR-mediated signaling,None
DNAJB1,8357,DNAJB1-HSPA4-HSPA8 complex,Human,3312;3337;3308,HSPA8;DNAJB1;HSPA4,"HSC70, HSP73, HSPA10;DNAJ1 HDJ1 HSPF1;APG2",cellular component disassembly,None
DNAJB11,413,"(ER)-localized multiprotein complex, Ig heavy chains associated",Mouse,12304;22027;18453;14828;19035;320011;67838;64136;12282;29867,Pdia4;Hsp90b1;P4hb;Hspa5;Ppib;Uggt1;Dnajb11;Sdf2l1;Hyou1;Cabp1,"Cai Erp72;Grp94, Tra-1, Tra1, Gp96;Pdia1;Grp78;None;Gt Ugcgl1 Uggt Ugt1 Ugtr;;;Grp170;",protein stabilization;protein folding;endoplasmic reticulum unfolded protein response;endoplasmic reticulum,protein folding and stabilization;unfolded protein response (e.g. ER quality control);endoplasmic reticulum
DNAJB11,1246,ERdj3-BiP complex,Mouse,14828;67838,Hspa5;Dnajb11,Grp78;,protein stabilization;protein folding;endoplasmic reticulum unfolded protein response;endoplasmic reticulum,protein folding and stabilization;unfolded protein response (e.g. ER quality control);endoplasmic reticulum
DNAJB11,7680,DNAJB11-SDF2 complex,Human,6388;51726,SDF2;DNAJB11,"None;EDJ,ERJ3,HDJ9,PSEC0121",endoplasmic reticulum lumen;unfolded protein binding,None
DNAJB11,7681,DNAJB11-SDF2L1 complex,Human,23753;51726,SDF2L1;DNAJB11,"None;EDJ,ERJ3,HDJ9,PSEC0121",unfolded protein binding;endoplasmic reticulum,endoplasmic reticulum
DNAJB12,8255,DNAJB12-DNAJB14-HSPA8-SGTA complex,Human,6449;3312;79982;54788,SGTA;HSPA8;DNAJB14;DNAJB12,"SGT,SGT1;HSC70, HSP73, HSPA10;None;None",viral entry into host cell;endoplasmic reticulum to cytosol transport;ERAD pathway,None
DNAJB12,8256,DNAJB12-DNAJB14 complex,Human,79982;54788,DNAJB14;DNAJB12,None;None,endoplasmic reticulum membrane;endoplasmic reticulum to cytosol transport,None
DNAJB2,2129,DNAJB2-HSPA8-PSMA3 complex,Human,3312;3300;5684,HSPA8;DNAJB2;PSMA3,"HSC70, HSP73, HSPA10;HSJ1 HSPF3;HC8 PSC8",intracellular protein transport;protein targeting;protein transport;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process,"protein targeting, sorting and translocation;protein transport;proteasomal degradation (ubiquitin/proteasomal pathway)"
DNAJB9,8468,DNAJB9-DNAJC10-TMEM67 complex,Human,91147;54431;4189,TMEM67;DNAJC10;DNAJB9,MKS3;ERDJ5;MDG1,ERAD pathway;endoplasmic reticulum,endoplasmic reticulum
DNAJC10,8468,DNAJB9-DNAJC10-TMEM67 complex,Human,91147;54431;4189,TMEM67;DNAJC10;DNAJB9,MKS3;ERDJ5;MDG1,ERAD pathway;endoplasmic reticulum,endoplasmic reticulum
DNAJC3,6396,DNJC3-DNAJB1-HSPA8 complex,Human,3312;3337;5611,HSPA8;DNAJB1;DNAJC3,"HSC70, HSP73, HSPA10;DNAJ1 HDJ1 HSPF1;P58IPK PRKRI",PKR-mediated signaling,None
DNAJC5,5610,"Alpha-GDI-Hsp90 chaperone complex, ATP dependent",Rat,25183;79130;24468;299331,Gdi1;Dnajc5;Hspa8;Hsp90aa1,Rabgdia;;Hsc70 Hsc73;Hsp86 Hspca,"synaptic vesicle recycling;retrograde transport, vesicle recycling within Golgi;synaptic vesicle transport;synaptic vesicle exocytosis;plasma membrane;transport vesicle",vesicle recycling;retrograde transport;synaptic vesicle exocytosis;eukaryotic plasma membrane / membrane attached;intracellular transport vesicles
DNAJC5,6397,Dnajc5-Sgta complex,Mouse,13002;15481;52551,Dnajc5;Hspa8;Sgta,None;Hsc70 Hsc73;Sgt,membrane;trans-Golgi network,None
DNAJC5B,6398,Dnajc5b-Sgta-Hsc70 complex,Mouse,15481;52551;66326,Hspa8;Sgta;Dnajc5b,Hsc70 Hsc73;Sgt;None,vesicle;membrane;chemical synaptic transmission,synaptic transmission
DPM1,5244,Dolichol-phosphate mannose (DPM) synthase,Human,8813;8818;54344,DPM1;DPM2;DPM3,;;,protein glycosylation;protein galactosylation;endoplasmic reticulum,"modification with sugar residues (e.g. glycosylation, deglycosylation);endoplasmic reticulum"
DPM2,5244,Dolichol-phosphate mannose (DPM) synthase,Human,8813;8818;54344,DPM1;DPM2;DPM3,;;,protein glycosylation;protein galactosylation;endoplasmic reticulum,"modification with sugar residues (e.g. glycosylation, deglycosylation);endoplasmic reticulum"
DPM3,5244,Dolichol-phosphate mannose (DPM) synthase,Human,8813;8818;54344,DPM1;DPM2;DPM3,;;,protein glycosylation;protein galactosylation;endoplasmic reticulum,"modification with sugar residues (e.g. glycosylation, deglycosylation);endoplasmic reticulum"
DPP6,594,Kv4.2-Dpp6 channel complex,Rat,29272;65180,Dpp6;Kcnd2,None;None,protein targeting;protein transport;cation transport;ion channel activity;action potential;neuronal action potential propagation;neuronal action potential;plasma membrane,"protein targeting, sorting and translocation;protein transport;cation transport (H+, Na+, K+, Ca2+ , NH4+, etc.);ion channels;regulation, generation and propagation of action potential;eukaryotic plasma membrane / membrane attached"
DPP6,599,Kv4.3-Dpp6 channel complex,Rat,29272;65195,Dpp6;Kcnd3,None;None,protein targeting;protein transport;cation transport;ion channel activity;action potential;neuronal action potential propagation;neuronal action potential;plasma membrane,"protein targeting, sorting and translocation;protein transport;cation transport (H+, Na+, K+, Ca2+ , NH4+, etc.);ion channels;regulation, generation and propagation of action potential;eukaryotic plasma membrane / membrane attached"
DPP6,600,Kv4.1-Dpp6 channel complex,Rat,116695;29272,Kcnd1;Dpp6,rCG_22902;None,protein targeting;protein transport;cation transport;ion channel activity;action potential;neuronal action potential propagation;neuronal action potential;plasma membrane,"protein targeting, sorting and translocation;protein transport;cation transport (H+, Na+, K+, Ca2+ , NH4+, etc.);ion channels;regulation, generation and propagation of action potential;eukaryotic plasma membrane / membrane attached"
DPP6,604,Kv4.2-DPPX-KChIP channel complex,Rat,29272;65180;65023,Dpp6;Kcnd2;Kcnip1,None;None;Kchip1,intracellular protein transport;protein targeting;protein transport;cation transmembrane transporter activity;cation transport;ion channel activity;action potential;neuronal action potential propagation;neuronal action potential;plasma membrane,"protein targeting, sorting and translocation;protein transport;cation transport (H+, Na+, K+, Ca2+ , NH4+, etc.);ion channels;regulation, generation and propagation of action potential;eukaryotic plasma membrane / membrane attached"
EEA1,2572,RAB5-EEA1 complex,Human,5868;8411,RAB5A;EEA1,RAB5;ZFYVE2,endocytosis;endosome,endocytosis;endosome
EEA1,2573,Class C VPS/HOPS complex,Human,5868;8411;23339;64601;55823;57617,RAB5A;EEA1;VPS39;VPS16;VPS11;VPS18,"RAB5;ZFYVE2;KIAA0770, TLP, VAM6;None;RNF108;KIAA1475",None,None
EIF2S1,5183,DNA-PK-Ku-eIF2-NF90-NF45 complex,Human,1965;2547;7520;8894;1968;5591;3608;3609,EIF2S1;XRCC6;XRCC5;EIF2S2;EIF2S3;PRKDC;ILF2;ILF3,"EIF2A;G22P1, KU70;G22P2, KU86;EIF2B;EIF2G;HYRC, HYRC1;NF45;DRBF MPHOSPH4 NF90",DNA repair;protein phosphorylation;protein autophosphorylation;DNA binding;nucleus,"DNA repair;modification by phosphorylation, dephosphorylation, autophosphorylation;DNA binding;nucleus"
EIF2S1,8247,EIF2S1-NCK1-PPP1CA-PPP1R15B complex,Human,1965;4690;5499;None,EIF2S1;NCK1;PPP1CA;PPP1R15B,EIF2A;NCK;PPP1A;None,peptidyl-serine dephosphorylation,None
ERLEC1,6859,HRD1 complex,Human,11160;3309;7184;682;10956;84447;23197;27248;51009;51439;6400;51465;550,ERLIN2;HSPA5;HSP90B1;BSG;OS9;SYVN1;FAF2;ERLEC1;DERL2;FAM8A1;SEL1L;UBE2J1;AUP1,"C8orf2, SPFH2;GRP78;GRP94, TRA1;None;None;HRD1 KIAA1810;ETEA, KIAA0887, UBXD8, UBXN3B;C2orf30,XTP3TPB;DER2; FLANA;AHCP;TSA305;NCUBE1;None",response to endoplasmic reticulum stress;endoplasmic reticulum membrane,None
ERN1,2845,Bak1-Bax-Ern1 complex,Mouse,12018;12028;None,Bak1;Bax;Ern1,Bak;None;Ire1,response to stress;intrinsic apoptotic signaling pathway;endoplasmic reticulum,stress response;induction of apoptosis by intracellular signals;endoplasmic reticulum
ERN1,7350,"Aip1-Ire1-Traf2, ER stress induced complex",Mouse,22030;69601;26918,Traf2;Dab2ip;Ern1,None;Kiaa1743;Ire1,response to endoplasmic reticulum stress,None
ERN1,7685,ERN1-MAP3K5-TRAF2 complex,Human,2081;7186;4217,ERN1;TRAF2;MAP3K5,IRE1;TRAP3;ASK1 MAPKKK5 MEKK5,JNK cascade;positive regulation of programmed cell death;response to endoplasmic reticulum stress,JNK cascade
ERP29,5497,"Thyroglobulin folding complex (Tg, Hspa5, Pdi, Erp29, Grp94)",Rat,25617;24826;29511;117030;362862,Hspa5;Tg;Padi2;Erp29;Grp94,Grp78;None;Pad2 Pdi Pdi2;None;None,protein stabilization;protein folding,protein folding and stabilization
ERP29,5500,"Thyroglobulin folding complex (Tg, Pdi, Erp29)",Rat,24826;29511;117030,Tg;Padi2;Erp29,None;Pad2 Pdi Pdi2;None,protein stabilization;protein folding,protein folding and stabilization
ERP29,5501,"Thyroglobulin folding complex (Tg, Hspa5, Erp29, Grp94)",Rat,25617;24826;117030;362862,Hspa5;Tg;Erp29;Grp94,Grp78;None;None;None,protein stabilization;protein folding,protein folding and stabilization
EVI5,1087,BIRC5-AURKB-INCENP-EVI5 complex,Human,332;7813;9212;3619,BIRC5;EVI5;AURKB;INCENP,"API4, IAP4;NB4S;AIK2, AIM1, AIRK2, ARK2 STK1, STK12, STK5;None",cytokinesis;division septum assembly,cytokinesis (cell division) /septum formation and hydrolysis
EXOC1,611,Exocyst complex,Rat,None;171455;64632;50556;245709;60627;116654;252881,Exoc1;Exoc2;Exoc7;Exoc6;Exoc8;Exoc5;Exoc4;Exoc3,Sec3l1;Sec5 Sec5l1;Exo70;Sec15 Sec15a Sec15l1;Exo84;Sec10l1;Sec8 Sec8l1;Sec6 Sec6l1,protein binding;protein transport;exocytosis;plasma membrane,protein binding;protein transport;exocytosis;eukaryotic plasma membrane / membrane attached
EXOC1,6167,Exocyst complex,Human,10640;11336;149371;54536;60412;55770;55763;23265,EXOC5;EXOC3;EXOC8;EXOC6;EXOC4;EXOC2;EXOC1;EXOC7,SEC10 SEC10L1;SEC6 SEC6L1;None;SEC15A SEC15L SEC15L1;KIAA1699 SEC8 SEC8L1;SEC5 SEC5L1;SEC3 SEC3L1;EXO70 KIAA1067,vesicle tethering;exocytosis;cilium assembly,exocytosis
EXOC2,611,Exocyst complex,Rat,None;171455;64632;50556;245709;60627;116654;252881,Exoc1;Exoc2;Exoc7;Exoc6;Exoc8;Exoc5;Exoc4;Exoc3,Sec3l1;Sec5 Sec5l1;Exo70;Sec15 Sec15a Sec15l1;Exo84;Sec10l1;Sec8 Sec8l1;Sec6 Sec6l1,protein binding;protein transport;exocytosis;plasma membrane,protein binding;protein transport;exocytosis;eukaryotic plasma membrane / membrane attached
EXOC2,6167,Exocyst complex,Human,10640;11336;149371;54536;60412;55770;55763;23265,EXOC5;EXOC3;EXOC8;EXOC6;EXOC4;EXOC2;EXOC1;EXOC7,SEC10 SEC10L1;SEC6 SEC6L1;None;SEC15A SEC15L SEC15L1;KIAA1699 SEC8 SEC8L1;SEC5 SEC5L1;SEC3 SEC3L1;EXO70 KIAA1067,vesicle tethering;exocytosis;cilium assembly,exocytosis
