ComplexName,subunits(Entrez IDs),GO ID,GO description,FunCat ID,FunCat description,Complex comment,subunits(Gene name)
Vcp-Ufd1-Npl4-IP3 receptor complex,25262;116643;84478;140639,GO:0043161;GO:0006511;GO:0005515;GO:0005783;GO:0048015,proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;protein binding;endoplasmic reticulum;phosphatidylinositol-mediated signaling,14.13.01.01;16.01;70.07,proteasomal degradation (ubiquitin/proteasomal pathway);protein binding;endoplasmic reticulum,The p97-Ufd1-Npl4 complex couples ubiquitinated IP3 receptors to proteasomal degradation and plays a key role in IP3 receptor processing. These data also establish that the p97-Ufd1-Npl4 complex mediates endoplasmic reticulum-associated degradation in mammalian cells.,Itpr1;Vcp;Ufd1;Nploc4
Rab11Fip2-Ap2a complex,11771;74998,GO:0006898,receptor-mediated endocytosis,20.09.18.09.01.01,receptor-mediated endocytosis,Rab11-FIP2 influences endocytosis through its ability to interact with the adaptor complex AP-2.,Ap2a1;Rab11fip2
Fip2-Rab11-Reps1 complex,19707;74998,GO:0006886;GO:0006605;GO:0015031;GO:0006898,intracellular protein transport;protein targeting;protein transport;receptor-mediated endocytosis,14.04;20.01.10;20.09.18.09.01.01,"protein targeting, sorting and translocation;protein transport;receptor-mediated endocytosis",,Reps1;Rab11fip2
Sec61alpha-CollagenIV-Hsp47 complex,12826;12406;53421,GO:0006886;GO:0006605;GO:0015031;GO:0006461;GO:0005783,intracellular protein transport;protein targeting;protein transport;protein-containing complex assembly;endoplasmic reticulum,14.04;20.01.10;14.10;70.07,"protein targeting, sorting and translocation;protein transport;assembly of protein complexes;endoplasmic reticulum",Sec61a may form complexes with Hsp47 and other ER proteins during the constitutive synthesis of collagen IV by F9 cells after retinoic acid treatment.,Col4a1;Serpinh1;Sec61a1
Ocrl-Cdc42 complex,12540;320634,GO:0006886;GO:0006605;GO:0015031;GO:0005794,intracellular protein transport;protein targeting;protein transport;Golgi apparatus,14.04;20.01.10;70.08,"protein targeting, sorting and translocation;protein transport;Golgi","Cdc42 associates significantly with OCRL1 RhoGAP in GST pulldown and membrane translocation assays, no interaction between endogenous OCRL1 and Cdc42 could be detected in coimmunoprecipitation experiments (PMID:12915445).",Cdc42;Ocrl
Agap1-Ap3b1-Ap3m1-Ap3m2-Ap3s2 complex,11778;347722;64933;55946;11774,GO:0016192;GO:0005768,vesicle-mediated transport;endosome,20.09.07;70.22,"vesicular transport (Golgi network, etc.);endosome",,Ap3s2;Agap1;Ap3m2;Ap3m1;Ap3b1
GAA1-GPI8-PIGT-PIG-PIGS complex,8733;10026;51604;94005;128869,GO:0006644;GO:0008654;GO:0009395;GO:0005886,phospholipid metabolic process;phospholipid biosynthetic process;phospholipid catabolic process;plasma membrane,01.06.02.01;70.02,phospholipid metabolism;eukaryotic plasma membrane / membrane attached,,GPAA1;PIGK;PIGT;PIGS;PIGU
p23 protein complex,10016;3181;10728,GO:0005515;GO:0043067,protein binding;regulation of programmed cell death,16.01;40.10.02.04,protein binding;regulation of apoptosis,,PDCD6;HNRNPA2B1;PTGES3
TorsinA-TorsinB complex,1861;27348,GO:0008015,blood circulation,34.11.13.07,circulation (e.g. blood pressure),,TOR1A;TOR1B
"Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)",9978;6500;6502;8454,GO:0016567;GO:0043161;GO:0006511;GO:0005737,protein ubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;cytoplasm,14.07.05;14.13.01.01;70.03,"modification by ubiquitination, deubiquitination;proteasomal degradation (ubiquitin/proteasomal pathway);cytoplasm",Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. Recruitment of a ROC1-CUL1 ubiquitin ligase by Skp1 and HOS to catalyze the ubiquitination of I kappa B alpha.,RBX1;SKP1;SKP2;CUL1
"Ubiquitin E3 ligase (FBXW11, SKP1A, CUL1, RBX1)",9978;6500;8454;23291,GO:0016567;GO:0043161;GO:0006511,protein ubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process,14.07.05;14.13.01.01,"modification by ubiquitination, deubiquitination;proteasomal degradation (ubiquitin/proteasomal pathway)",Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. This complex catalyzes the phosphorylation-dependent ubiquitination of NF-kappa-B inhibitor alpha.,RBX1;SKP1;CUL1;FBXW11
ESR1-RELA-BCL3-NCOA3 complex,2099;602;5970;8202,GO:2001141;GO:0006355;GO:0023052,"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;signaling",11.02.03.04;30.01,transcriptional control;cellular signalling,,ESR1;BCL3;RELA;NCOA3
BAR-BCL2-CASP8 complex,596;841;51283,GO:0006915,apoptotic process,40.10.02,apoptosis (type I programmed cell death),BAR can bridge procaspase-8 and Bcl-2 into a protein complex. The BAR protein is anchored in intracellular membranes where Bcl-2 resides. BAR therefore may represent a scaffold protein capable of bridging two major apoptosis pathways (intrinsic and extrinsic).,BCL2;CASP8;BFAR
GRASP-GRP1 complex,9265;160622,GO:0007264;GO:0005886,small GTPase mediated signal transduction;plasma membrane,30.01.05.05.01;70.02,small GTPase mediated signal transduction;eukaryotic plasma membrane / membrane attached,The authors propose that GRASP may aid in the localization of GRP1 to discrete signaling networks and facilitate stimulation of ARF-mediated events at the plasma membrane.,CYTH3;TAMALIN
PKD2-FPC complex,5314;5311,GO:0006812;GO:0005216;GO:0006875;GO:0005929,cation transport;ion channel activity;cellular metal ion homeostasis;cilium,20.01.01.01;20.03.01.01;34.01.01.01,"cation transport (H+, Na+, K+, Ca2+ , NH4+, etc.);ion channels;homeostasis of metal ions (Na, K, Ca etc.)","The study shows that fibrocystin is another partner of PC2, which functionally up-regulates its channel function through KIF3B. Interestingly, although KIF3B directly binds PC2, it has no significant effect on PC2 channel function, indicating that it primarily serves as a linker protein.",PKHD1;PKD2
Pkd2-Fpc-Kif3b complex,241035;18764;16569,GO:0006812;GO:0005216;GO:0006875;GO:0005929,cation transport;ion channel activity;cellular metal ion homeostasis;cilium,20.01.01.01;20.03.01.01;34.01.01.01,"cation transport (H+, Na+, K+, Ca2+ , NH4+, etc.);ion channels;homeostasis of metal ions (Na, K, Ca etc.)","Using a combination of in vitro and in vivo approaches, including yeast two-hybrid, GST pull-down and Far WB, the authors have demonstrated that the kinesin-2 motor subunit KIF3B acts as a linker protein, which enables the formation of a triplex, presumably in the form of PC2-KIF3B-FPC. Thus, KIF3B represents the first molecular linker between ADPKD and ARPKD proteins, suggesting that the protein complex PC2-KIF3B-FPC is part of a common molecular pathway implicated in renal cystic diseases. Using the lipid bilayer electrophysiology assay, it was demonstrated that FPC is capable of increasing PC2 channel function in the presence, but not in the absence of KIF3B.",Pkhd1;Pkd2;Kif3b
Pkd2-Pkhd1 complex,241035;18764,GO:0008324;GO:0006812;GO:0005216;GO:0006875;GO:0050982;GO:0009612;GO:0005886;GO:0005886;GO:0005929,cation transmembrane transporter activity;cation transport;ion channel activity;cellular metal ion homeostasis;detection of mechanical stimulus;response to mechanical stimulus;plasma membrane;plasma membrane;cilium,20.01.01.01;20.03.01.01;34.01.01.01;34.11.05;70.02,"cation transport (H+, Na+, K+, Ca2+ , NH4+, etc.);ion channels;homeostasis of metal ions (Na, K, Ca etc.);mechanical stimulus perception and response;eukaryotic plasma membrane / membrane attached","Coimmunoprecipitation of FPC and PC2 done in MDCK cells and mouse kidney tissues. Expression of FPC at the basolateral membrane both in the kidney tubules and in cultured cells suggests a role for FPC in cell-cell and cell-matrix interactions, where it may function as an adhesive molecule in concert with other junction molecules, such as the cadherin family members.",Pkhd1;Pkd2
BIRC5-AURKB-INCENP-EVI5 complex,332;7813;9212;3619,GO:0000910;GO:0000917,cytokinesis;division septum assembly,2003-03-10 00:00:00,cytokinesis (cell division) /septum formation and hydrolysis,,BIRC5;EVI5;AURKB;INCENP
AP1G1-RABEP1 complex,164;9135,GO:0016192;GO:0005802,vesicle-mediated transport;trans-Golgi network,2007-09-20 00:00:00,"vesicular transport (Golgi network, etc.)",Gamma1-adaptin is a subunit of the AP-1 adaptor complex of clathrin-coated vesicles derived from the trans-Golgi network (TGN). The gamma1-adaptin-Rabaptin-5 complex may play a role in membrane trafficking between the TGN and endosomes.,AP1G1;RABEP1
Frataxin complex,10632;3329;6389;3313;2395;57128;10939,GO:0005515;GO:0005739,protein binding;mitochondrion,16.01;70.16,protein binding;mitochondrion,,ATP5L;HSPD1;SDHA;HSPA9;FXN;LYRM4;AFG3L2
Psd-Actn1 complex,73728;109711,GO:0031175,neuron projection development,,,EFA6A may form a protein complex with alpha-actinin and activate ARF6 in close proximity of the actin cytoskeleton and membrane proteins in the dendritic spines (PMID:17298598).,Psd;Actn1
DSS1 complex,None;675;7979;54973;80789;55656;92105;114823;57508;55756;25896;55174;26512,GO:0005634,nucleus,70.10,nucleus,,SAC3D1;BRCA2;SEM1;INTS11;INTS5;INTS8;INTS4;LENG8;INTS2;INTS9;INTS7;INTS10;INTS6
"Ubiquitin E3 ligase (DDB1, DDB2, CUL4A, CUL4B, RBX1)",9978;8451;8450;1642;1643,GO:0016567;GO:0006974;GO:0009314;GO:0006511;GO:0000786,protein ubiquitination;cellular response to DNA damage stimulus;response to radiation;ubiquitin-dependent protein catabolic process;nucleosome,14.07.05;32.01.09;32.01.13;14.13.01.01,"modification by ubiquitination, deubiquitination;DNA damage response;electromagnetic waves stress response (e.g. UV, X-ray);proteasomal degradation (ubiquitin/proteasomal pathway)",Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. The CUL4-DDB-ROC1 complex is a ubiquitin E3 ligase for histones H3 and H4. CUL4-DDB-ROC1-mediated H3 and H4 ubiquitylation was shown to facilitate cellular response to UV damage by affecting nucleosome stability.,RBX1;CUL4A;CUL4B;DDB1;DDB2
RNF20-RNF40-UbE2E1 complex,9810;7324;56254,GO:2001141;GO:0006355;GO:0016567;GO:0005634;GO:0006511,"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;protein ubiquitination;nucleus;ubiquitin-dependent protein catabolic process",11.02.03.04;14.07.05;70.10;14.13.01.01,"transcriptional control;modification by ubiquitination, deubiquitination;nucleus;proteasomal degradation (ubiquitin/proteasomal pathway)","In humans, the 600 kDa RNF20/40 complex is the E3 ligase and UbcH6 is the ubiquitin E2-conjugating enzyme for H2B-Lys120 monoubiquitination.",RNF40;UBE2E1;RNF20
"SNARE complex (SNAP23, STX4, VAMP3)",8773;6810;9341,GO:0006906;GO:0048489;GO:0016079;GO:0031201;GO:0061025,vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;SNARE complex;membrane fusion,20.09.07.27;20.09.16.09.05,vesicle fusion;synaptic vesicle exocytosis,SNARE (N-ethylmaleimide-sensitive factor attachment protein receptor) complexes are responsible for membrane fusion in the secretory pathway. VAMP-3 and VAMP-8 form ternary SNARE complexes with platelet syntaxin 4 and are required for platelet granule secretion.,SNAP23;STX4;VAMP3
BCOR complex,3312;6500;6015;54880;23429;84678;6045;84759,GO:0016567;GO:0005634;GO:0006511;GO:0006351;GO:0016577,"protein ubiquitination;nucleus;ubiquitin-dependent protein catabolic process;transcription, DNA-templated;histone demethylation",14.07.05;70.10;14.13.01.01;11,"modification by ubiquitination, deubiquitination;nucleus;proteasomal degradation (ubiquitin/proteasomal pathway);TRANSCRIPTION","Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. The BCOR complex contains E3 ligase activity for histone H2A. Monoubiquitylated H2A is present together with the BCOR complex at BCL6 target genes in B cells. This strongly suggests a role of BCOR as regulator of BCL6, a sequence-specific transcriptional repressor, that probably plays an important role in lymphomagenesis.",HSPA8;SKP1;RING1;BCOR;RYBP;KDM2B;RNF2;PCGF1
C complex spliceosome,9092;10236;5356;9716;10492;51362;23451;23020;24148;10569;25949;3183;6629;3178;6627;26986;6628;1655;3181;3187;27316;9775;23517;220988;4670;3185;4116;3190;6635;6636;6637;27258;6632;6633;6634;3192;7307;6426;10946;10992;8899;22938;2483;1659;9343;23450;8175;10291;55596;10594;10283;10189;10250;58509;9785;23398;8220;9410;988;55094;84292;9416;51340;53938;5411;60625;57703;56949;55696;51503;None;51428;22913;57461;27339;10450;23524;57819;51645;9939,GO:0000398;GO:0005681,"mRNA splicing, via spliceosome;spliceosomal complex",2003-04-11 00:00:00,"mRNA processing (splicing, 5'-, 3'-end processing)","In eukaryotes, the removal of introns from nascent transcripts is mediated by a highly dynamic, macromolecular machine called the spliceosome.",SART1;HNRNPR;PLRG1;AQR;SYNCRIP;CDC40;SF3B1;SNRNP200;PRPF6;SLU7;SYF2;HNRNPC;SNRPB2;HNRNPA1;SNRPA1;PABPC1;SNRPB;DDX5;HNRNPA2B1;HNRNPH1;RBMX;EIF4A3;MTREX;HNRNPA3;HNRNPM;HNRNPF;MAGOH;HNRNPK;SNRPE;SNRPF;SNRPG;LSM3;SNRPD1;SNRPD2;SNRPD3;HNRNPU;U2AF1;SRSF1;SF3A3;SF3B2;PRPF4B;SNW1;FRG1;DHX8;EFTUD2;SF3B3;SF3A2;SF3A1;ZCCHC8;PRPF8;CWC27;ALYREF;SRRM1;CACTIN;DHX38;PPWD1;ESS2;SNRNP40;CDC5L;GPATCH1;WDR83;DDX23;CRNKL1;PPIL3;PNN;DHX35;CWC22;XAB2;RBM22;CWC15;TFIP11;DDX41;RALY;ISY1;PRPF19;PPIE;SRRM2;LSM2;PPIL1;RBM8A
CDC5L core complex,5356;10286;3312;10985;988;27339,GO:0008380;GO:0003723;GO:0005634,RNA splicing;RNA binding;nucleus,11.04.03.01;16.03.03;70.10,splicing;RNA binding;nucleus,The CDC5L complex incorporates into the spliceosome in an ATP-dependent step. This complex is required for the second catalytic step of pre-mRNA splicing. Immunodepletion of the CDC5L complex from HeLa nuclear extract inhibits the formation of pre-mRNA splicing products in vitro but does not prevent spliceosome assembly. Experiments indicate that there exists a CDC5L core complex in HeLa nuclear extract containing at least six proteins that interact with each other and with other splicing factors and enzymes.,PLRG1;BCAS2;HSPA8;GCN1;CDC5L;PRPF19
CDC5L complex,9814;8493;5356;23451;10286;6626;6627;3312;7153;6925;6421;27316;5499;6632;6633;6634;5591;6427;6426;3608;10992;1778;10262;9689;10250;10985;988;51503;27339;22828,GO:0008380;GO:0003723;GO:0005634,RNA splicing;RNA binding;nucleus,11.04.03.01;16.03.03;70.10,splicing;RNA binding;nucleus,The CDC5L complex incorporates into the spliceosome in an ATP-dependent step. This complex is required for the second catalytic step of pre-mRNA splicing. Immunodepletion of the CDC5L complex from HeLa nuclear extract inhibits the formation of pre-mRNA splicing products in vitro but does not prevent spliceosome assembly.,SFI1;PPM1D;PLRG1;SF3B1;BCAS2;SNRPA;SNRPA1;HSPA8;TOP2A;TCF4;SFPQ;RBMX;PPP1CA;SNRPD1;SNRPD2;SNRPD3;PRKDC;SRSF2;SRSF1;ILF2;SF3B2;DYNC1H1;SF3B4;BZW1;SRRM1;GCN1;CDC5L;CWC15;PRPF19;SCAF8
ESCRT-III complex,27243;57132;92421;79643;29082;128866;5119;51510;25978;51652,GO:0006886;GO:0006605;GO:0015031;GO:0016192;GO:0005737,intracellular protein transport;protein targeting;protein transport;vesicle-mediated transport;cytoplasm,14.04;20.01.10;20.09.07;70.03,"protein targeting, sorting and translocation;protein transport;vesicular transport (Golgi network, etc.);cytoplasm","The ESCRT-III complex is required for multivesicular bodies (MVBs) formation and sorting of endosomal cargo proteins into MVBs. The MVB pathway mediates delivery of transmembrane proteins into the lumen of the lysosome for degradation. The ESCRT-III complex is probably involved in the concentration of MVB cargo. In the ESCRT-III complex, it probably serves as an acceptor for ESCRT-II complex on endosomal membranes. In case of infection, the HIV-1 virus takes advantage of the ESCRT-III complex for budding and exocytic cargos of viral proteins.",CHMP2A;CHMP1B;CHMP4C;CHMP6;CHMP4A;CHMP4B;CHMP1A;CHMP5;CHMP2B;CHMP3
ESCRT-II complex,51028;11267;84313,GO:0006886;GO:0006605;GO:0015031;GO:0016192;GO:0005737,intracellular protein transport;protein targeting;protein transport;vesicle-mediated transport;cytoplasm,14.04;20.01.10;20.09.07;70.03,"protein targeting, sorting and translocation;protein transport;vesicular transport (Golgi network, etc.);cytoplasm",The ESCRT-II complex is required for multivesicular bodies (MVBs) formation and sorting of endosomal cargo proteins into MVBs. The MVB pathway mediates delivery of transmembrane proteins into the lumen of the lysosome for degradation. The ESCRT-II complex is probably involved in the recruitment of the ESCRT-III complex.,VPS36;SNF8;VPS25
ESCRT-I complex,55048;7251;51160,GO:0006886;GO:0006605;GO:0015031;GO:0016192;GO:0005737;GO:0005783,intracellular protein transport;protein targeting;protein transport;vesicle-mediated transport;cytoplasm;endoplasmic reticulum,14.04;20.01.10;20.09.07;70.03;70.07,"protein targeting, sorting and translocation;protein transport;vesicular transport (Golgi network, etc.);cytoplasm;endoplasmic reticulum",ESCRT-I is one of three defined protein complexes in the class E vacuolar protein sorting (VPS) pathway required for the sorting of ubiquitinated transmembrane proteins into internal vesicles of multivesicular bodies.,VPS37C;TSG101;VPS28
Oligosaccharyltransferase complex (Stt3A variant),6184;6185;1650;3703;1603;84061,GO:0006487;GO:0005783,protein N-linked glycosylation;endoplasmic reticulum,14.07.02.02;70.07,"N-directed glycosylation, deglycosylation;endoplasmic reticulum",Oligosaccharyltransferase (OST) is an integral membrane protein that catalyzes N-linked glycosylation of nascent proteins in the lumen of the endoplasmic reticulum. Genomes of most multicellular eukaryotes encode two homologs of Stt3p and mammals express two homologs of Ost3p. Tissue and cell type-specific differences in expression of the Stt3p homologs suggest that the enzymatic properties of oligosaccharyltransferase are regulated in eukaryotes to respond to alterations in glycoprotein flux through the secretory pathway and may contribute to tissue-specific glycan heterogeneity.  Iag2 appears to be weakly associated with the OST complex and dissociates from the other subunits at various stages during enzyme purification.,RPN1;RPN2;DDOST;STT3A;DAD1;MAGT1
Oligosaccharyltransferase complex (Stt3B variant),6184;6185;1650;1603;7991;201595;84061,GO:0006487;GO:0005783,protein N-linked glycosylation;endoplasmic reticulum,14.07.02.02;70.07,"N-directed glycosylation, deglycosylation;endoplasmic reticulum",Oligosaccharyltransferase (OST) is an integral membrane protein that catalyzes N-linked glycosylation of nascent proteins in the lumen of the endoplasmic reticulum. Genomes of most multicellular eukaryotes encode two homologs of Stt3p and mammals express two homologs of Ost3p. Tissue and cell type-specific differences in expression of the Stt3p homologs suggest that the enzymatic properties of oligosaccharyltransferase are regulated in eukaryotes to respond to alterations in glycoprotein flux through the secretory pathway and may contribute to tissue-specific glycan heterogeneity.  Tusc3 and Iag2 appear to be weakly associated with the OST complex and dissociate from the other subunits at various stages during enzyme purification.,RPN1;RPN2;DDOST;DAD1;TUSC3;STT3B;MAGT1
"Ubiquitin E3 ligase (AHR, ARNT, DDB1, TBL3, CUL4B, RBX1)",405;196;9978;10607;8450;1642,GO:0016567;GO:0043161;GO:0006511;GO:0023052;GO:0005634,protein ubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;signaling;nucleus,14.07.05;14.13.01.01;30.01;70.10,"modification by ubiquitination, deubiquitination;proteasomal degradation (ubiquitin/proteasomal pathway);cellular signalling;nucleus","Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. In the CUL4B(AhR) ubiquitin E3 ligase complex, ligand-activated dioxin receptor AhR acts as a substrate-specific adaptor component that targets sex steroid receptors for degradation. Thus, experiments uncover a function for AhR as an atypical component of the ubiquitin ligase complex and demonstrate a non-genomic signalling pathway in which fat-soluble ligands regulate target-protein-selective degradation through a ubiquitin ligase complex.",ARNT;AHR;RBX1;TBL3;CUL4B;DDB1
"SNARE complex (Stx4, Vamp8, Snap23)",20619;22320;20909,GO:0006906;GO:0048489;GO:0016079;GO:0031201;GO:0061025,vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;SNARE complex;membrane fusion,20.09.07.27;20.09.16.09.05,vesicle fusion;synaptic vesicle exocytosis,SNARE (N-ethylmaleimide-sensitive factor attachment protein receptor) complexes are responsible for membrane fusion in the secretory pathway. VAMP8/endobrevin  is a major player in regulated exocytosis of the exocrine pancreas (pancreatic acinar cells). It is enriched on the membrane of zymogen granules.,Snap23;Vamp8;Stx4
"SNARE complex (Stx4, Vamp2, Snap23)",20619;22318;20909,GO:0006906;GO:0048489;GO:0016079;GO:0031201;GO:0061025,vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;SNARE complex;membrane fusion,20.09.07.27;20.09.16.09.05,vesicle fusion;synaptic vesicle exocytosis,SNARE (N-ethylmaleimide-sensitive factor attachment protein receptor) complexes are responsible for membrane fusion in the secretory pathway.,Snap23;Vamp2;Stx4
"Ubiquitin E3 ligase (DET1, DDB1, CUL4A, RBX1, COP1)",9978;8451;1642;55070;64326,GO:0016567;GO:0043161;GO:0006511;GO:0023052;GO:0005634,protein ubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;signaling;nucleus,14.07.05;14.13.01.01;30.01;70.10,"modification by ubiquitination, deubiquitination;proteasomal degradation (ubiquitin/proteasomal pathway);cellular signalling;nucleus",Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. Human DET1 (hDET1) promotes ubiquitination and degradation of the proto-oncogenic transcription factor c-Jun by assembling a multisubunit ubiquitin E3 ligase. Ablation of any subunit by RNA interference stabilized c-Jun and increased c-Jun-activated transcription.,RBX1;CUL4A;DDB1;DET1;COP1
"Ubiquitin E3 ligase (FBXW7, CUL1, SKP1A, RBX1)",9978;6500;8454;55294,GO:0016567;GO:0043161;GO:0006511;GO:0007219;GO:0023052,protein ubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;Notch signaling pathway;signaling,14.07.05;14.13.01.01;30.05.02.14;30.01,"modification by ubiquitination, deubiquitination;proteasomal degradation (ubiquitin/proteasomal pathway);Notch-receptor signalling pathway;cellular signalling",Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. FBXW7 is an inhibitor of notch signaling that targets notch for ubiquitin-mediated protein degradation.,RBX1;SKP1;CUL1;FBXW7
"H2AX complex, isolated from cells without IR exposure",10236;6741;4869;801;3309;26986;3014;811;None;6749;128312;51386;11198,GO:0006265;GO:0000075;GO:0006354;GO:0051276;GO:0005634,"DNA topological change;cell cycle checkpoint signaling;DNA-templated transcription, elongation;chromosome organization;nucleus",10.01.09.05;10.03.01.03;11.02.03.01.04;42.10.03;70.10,"DNA conformation modification (e.g. chromatin);cell cycle checkpoints (checkpoints of morphogenesis, DNA-damage,-replication, mitotic phase and spindle);transcription elongation;organization of chromosome structure;nucleus",,HNRNPR;SSB;NPM1;CALM1;HSPA5;PABPC1;H2AX;CALR;H4C1; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9; H4C11; H4C12; H4C13; H4C14; H4C15; H4-16;SSRP1;H2BU1;EIF3L;SUPT16H
"Ubiquitin E3 ligase (BMI1, SPOP, CUL3)",8405;648;8452,GO:0009048;GO:0016567;GO:0005634;GO:0006511,dosage compensation by inactivation of X chromosome;protein ubiquitination;nucleus;ubiquitin-dependent protein catabolic process,10.03.04.06;14.07.05;70.10;14.13.01.01,"chromosome inactivation;modification by ubiquitination, deubiquitination;nucleus;proteasomal degradation (ubiquitin/proteasomal pathway)","Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. X inactivation involves the stable silencing of one of the two X chromosomes in XX female mammals. Initiation of this process occurs during early development and involves Xist (X-inactive-specific transcript) RNA coating and the recruitment of Polycomb repressive complex (PRC) 2 and PRC1 proteins. This recruitment results in an inactive state that is initially labile but is further locked in by epigenetic marks such as DNA methylation, histone hypoacetylation, and MACROH2A deposition. The ubiquitin E3 ligase consisting of SPOP and CULLIN3 is able to ubiquitinate the Polycomb group protein BMI1 and the variant histone H2AFY.",SPOP;BMI1;CUL3
"Ubiquitin E3 ligase (H2AFY, SPOP, CUL3)",8405;9555;8452,GO:0009048;GO:0016567;GO:0005634;GO:0006511,dosage compensation by inactivation of X chromosome;protein ubiquitination;nucleus;ubiquitin-dependent protein catabolic process,10.03.04.06;14.07.05;70.10;14.13.01.01,"chromosome inactivation;modification by ubiquitination, deubiquitination;nucleus;proteasomal degradation (ubiquitin/proteasomal pathway)","Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. X inactivation involves the stable silencing of one of the two X chromosomes in XX female mammals. Initiation of this process occurs during early development and involves Xist (X-inactive-specific transcript) RNA coating and the recruitment of Polycomb repressive complex (PRC) 2 and PRC1 proteins. This recruitment results in an inactive state that is initially labile but is further locked in by epigenetic marks such as DNA methylation, histone hypoacetylation, and MACROH2A deposition. The ubiquitin E3 ligase consisting of SPOP and CULLIN3 is able to ubiquitinate the Polycomb group protein BMI1 and the variant histone H2AFY.",SPOP;MACROH2A1;CUL3
H2AX complex I,4869;142;3309;3014;811;22907;128312,GO:0006281;GO:0006265;GO:0000075;GO:0006354;GO:0006974;GO:0051276;GO:0005634,"DNA repair;DNA topological change;cell cycle checkpoint signaling;DNA-templated transcription, elongation;cellular response to DNA damage stimulus;chromosome organization;nucleus",10.01.05.01;10.01.09.05;10.03.01.03;11.02.03.01.04;32.01.09;42.10.03;70.10,"DNA repair;DNA conformation modification (e.g. chromatin);cell cycle checkpoints (checkpoints of morphogenesis, DNA-damage,-replication, mitotic phase and spindle);transcription elongation;DNA damage response;organization of chromosome structure;nucleus",This complex has been isolated from cells after IR exposure and recovery for 30 minutes.,NPM1;PARP1;HSPA5;H2AX;CALR;DHX30;H2BU1
H2AX complex II,4869;3309;3014;8531;811;3018;None;128312;55037;8342,GO:0006281;GO:0006265;GO:0000075;GO:0006354;GO:0006974;GO:0051276;GO:0005634,"DNA repair;DNA topological change;cell cycle checkpoint signaling;DNA-templated transcription, elongation;cellular response to DNA damage stimulus;chromosome organization;nucleus",10.01.05.01;10.01.09.05;10.03.01.03;11.02.03.01.04;32.01.09;42.10.03;70.10,"DNA repair;DNA conformation modification (e.g. chromatin);cell cycle checkpoints (checkpoints of morphogenesis, DNA-damage,-replication, mitotic phase and spindle);transcription elongation;DNA damage response;organization of chromosome structure;nucleus",This complex has been isolated from cells after IR exposure and recovery for 2.5h.,NPM1;HSPA5;H2AX;YBX3;CALR;H2BC3;H4C1; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9; H4C11; H4C12; H4C13; H4C14; H4C15; H4-16;H2BU1;PTCD3;H2BC14
